Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,max_ratio_absG_over_abslam,y_at_max_ratio,min_abs_Fk_on_boundary,y_at_min_abs_Fk
0.25,0.05,3,0.20782977563331673,4.6070146938790435,0.0,0.1576396166555183,0.55
0.25,0.05,4,0.20782977563331673,6.588439124305931,0.0,0.22221464344397282,0.75
0.25,0.05,5,0.20782977563331673,8.427764218772914,0.0,0.29180553447213536,0.9750000000000001
0.25,0.05,6,0.20782977563331673,10.080670245779752,0.0,0.36386915537193415,1.175
0.25,0.05,7,0.20782977563331673,11.55965571947722,0.0,0.43705504494104863,1.4000000000000001
0.25,0.05,8,0.20782977563331673,12.897886757638434,0.0,0.5097342555106028,1.625
0.25,0.05,9,0.20782977563331673,14.131012784106531,0.0,0.5809786347779923,1.85
0.25,0.05,10,0.20782977563331673,15.290085958132195,0.0,0.6505115652073161,2.0500000000000003
0.25,0.05,11,0.20782977563331673,16.39981589350282,0.0,0.7186227900258276,2.3000000000000003
0.25,0.05,12,0.20782977563331673,17.47894965619969,0.0,0.7852909533869317,2.5250000000000004
0.25,0.060000000000000005,3,0.200838804628947,4.6638107743616875,0.0,0.1691946601521958,0.55
0.25,0.060000000000000005,4,0.200838804628947,6.702960722782551,0.0,0.2340806480282178,0.75
0.25,0.060000000000000005,5,0.200838804628947,8.608572421101757,0.0,0.3037564390135556,0.9750000000000001
0.25,0.060000000000000005,6,0.200838804628947,10.328237498157678,0.0,0.37606275989546073,1.175
0.25,0.060000000000000005,7,0.200838804628947,11.87022195136259,0.0,0.4494344251707393,1.4000000000000001
0.25,0.060000000000000005,8,0.200838804628947,13.266340512409894,0.0,0.5223324392535047,1.625
0.25,0.060000000000000005,9,0.200838804628947,14.552409783884505,0.0,0.5938137511551218,1.85
0.25,0.060000000000000005,10,0.200838804628947,15.76025173495486,0.0,0.6636412080156592,2.0500000000000003
0.25,0.060000000000000005,11,0.200838804628947,16.915476188876465,0.0,0.731933343346571,2.3000000000000003
0.25,0.060000000000000005,12,0.200838804628947,18.03765932375873,0.0,0.7988273353126076,2.5250000000000004
0.25,0.07,3,0.19421355425276188,4.720511095739361,0.0,0.18026147720960964,0.55
0.25,0.07,4,0.19421355425276188,6.818125755760818,0.0,0.2454190215932017,0.75
0.25,0.07,5,0.19421355425276188,8.791329720948708,0.0,0.31516068883353654,0.9750000000000001
0.25,0.07,6,0.19421355425276188,10.579279839095191,0.0,0.3876894689444103,1.175
0.25,0.07,7,0.19421355425276188,12.185723760077288,0.0,0.461242144365477,1.4000000000000001
0.25,0.07,8,0.19421355425276188,13.640990386785978,0.0,0.5343552195036171,1.625
0.25,0.07,9,0.19421355425276188,14.981039225854175,0.0,0.6060685590626188,1.85
0.25,0.07,10,0.19421355425276188,16.238490380898593,0.0,0.6761440314061378,2.075
0.25,0.07,11,0.19421355425276188,17.43989798001127,0.0,0.7446499482573378,2.3000000000000003
0.25,0.07,12,0.19421355425276188,18.60570994785764,0.0,0.8117617209211228,2.5250000000000004
0.25,0.08,3,0.1879209255028374,4.7770349823874705,0.0,0.19090048753235048,0.55
0.25,0.08,4,0.1879209255028374,6.933837199194556,0.0,0.256291362518845,0.75
0.25,0.08,5,0.1879209255028374,8.975992740259677,0.0,0.3260783893864659,0.9750000000000001
0.25,0.08,6,0.1879209255028374,10.83386516906659,0.0,0.398810034730142,1.175
0.25,0.08,7,0.1879209255028374,12.506364975364598,0.0,0.47253851888867376,1.4000000000000001
0.25,0.08,8,0.1879209255028374,14.022174407954644,0.0,0.5458630931416297,1.625
0.25,0.08,9,0.1879209255028374,15.417358399416276,0.0,0.6178041994547564,1.85
0.25,0.08,10,0.1879209255028374,16.725359937409973,0.0,0.6881083506605222,2.075
0.25,0.08,11,0.1879209255028374,17.973722892104725,0.0,0.7568356271282787,2.3000000000000003
0.25,0.08,12,0.1879209255028374,19.183812709019307,0.0,0.8241581439117716,2.5250000000000004
0.25,0.09,3,0.18193271735049915,4.833311129060019,0.0,0.20116222723727897,0.55
0.25,0.09,4,0.18193271735049915,7.050001003695314,0.0,0.26674968695463214,0.75
0.25,0.09,5,0.18193271735049915,9.162507830975564,0.0,0.33656044035774707,0.9750000000000001
0.25,0.09,6,0.18193271735049915,11.09203697618508,0.0,0.4094758353599686,1.175
0.25,0.09,7,0.18193271735049915,12.832312930805982,0.0,0.48337456428058123,1.4000000000000001
0.25,0.09,8,0.18193271735049915,14.410184348883774,0.0,0.5569072335560846,1.625
0.25,0.09,9,0.18193271735049915,15.861770251781158,0.0,0.6290723996176767,1.85
0.25,0.09,10,0.18193271735049915,17.22135702575164,0.0,0.6996006047020363,2.075
0.25,0.09,11,0.18193271735049915,18.517524619106666,0.0,0.7685437279023934,2.3000000000000003
0.25,0.09,12,0.18193271735049915,19.77260465617203,0.0,0.8360708235489004,2.5250000000000004
0.25,0.1,3,0.1762246295808364,4.889275371941804,0.0,0.2110894145022375,0.55
0.25,0.1,4,0.1762246295808364,7.166524810897082,0.0,0.2768384045794534,0.75
0.25,0.1,5,0.1762246295808364,9.350811929339821,0.0,0.34665041301689625,0.9750000000000001
0.25,0.1,6,0.1762246295808364,11.353817814966492,0.0,0.41973079739621705,1.175
0.25,0.1,7,0.1762246295808364,13.163704630789226,0.0,0.4937938970061773,1.4000000000000001
0.25,0.1,8,0.1762246295808364,14.805274422978869,0.0,0.5675313952942909,1.625
0.25,0.1,9,0.1762246295808364,16.314634353767428,0.0,0.6399173964217109,1.85
0.25,0.1,10,0.1762246295808364,17.72692981551153,0.0,0.7106656990766905,2.075
0.25,0.1,11,0.1762246295808364,19.071823658870336,0.0,0.7798199019107718,2.3000000000000003
0.25,0.1,12,0.1762246295808364,20.37266501991559,0.0,0.8475461715019871,2.5250000000000004
0.25,0.11,3,0.17077551516457626,4.944869137976439,0.0,0.22071849270571225,0.55
0.25,0.11,4,0.17077551516457626,7.28331710366637,0.0,0.28659580102563476,0.75
0.25,0.11,5,0.17077551516457626,9.540833212517423,0.0,0.3563859618253369,0.9750000000000001
0.25,0.11,6,0.17077551516457626,11.619211806095441,0.0,0.42961283692126984,1.175
0.25,0.11,7,0.17077551516457626,13.500651179352294,0.0,0.5038341600389126,1.4000000000000001
0.25,0.11,8,0.17077551516457626,15.20766757409712,0.0,0.5777733415318672,1.625
0.25,0.11,9,0.17077551516457626,16.77627489372446,0.0,0.6503773773947275,1.85
0.25,0.11,10,0.17077551516457626,18.242487535718926,0.0,0.7213424114448213,2.075
0.25,0.11,11,0.17077551516457626,19.637098165877656,0.0,0.7907035854789829,2.3000000000000003
0.25,0.11,12,0.17077551516457626,20.984527260964217,0.0,0.8586242951496296,2.5250000000000004
0.25,0.12000000000000001,3,0.1655668095552103,5.0000383535854365,0.0,0.230080802666906,0.55
0.25,0.12000000000000001,4,0.1655668095552103,7.400286655768055,0.0,0.29605516954991107,0.75
0.25,0.12000000000000001,5,0.1655668095552103,9.732491624338527,0.0,0.3657999045294988,0.9750000000000001
0.25,0.12000000000000001,6,0.1655668095552103,11.88820645953874,0.0,0.43915495927129977,1.175
0.25,0.12000000000000001,7,0.1655668095552103,13.84324099517963,0.0,0.5135281108402082,1.4000000000000001
0.25,0.12000000000000001,8,0.1655668095552103,15.617560079827436,0.0,0.5876659332571366,1.625
0.25,0.12000000000000001,9,0.1655668095552103,17.246986583453765,0.0,0.6604855800226017,1.85
0.25,0.12000000000000001,10,0.1655668095552103,18.76840755593761,0.0,0.7316645053547115,2.075
0.25,0.12000000000000001,11,0.1655668095552103,20.21379207549908,0.0,0.8012291298763015,2.3000000000000003
0.25,0.12000000000000001,12,0.1655668095552103,21.60868812209855,0.0,0.8693401440440737,2.5250000000000004
0.25,0.13,3,0.16058208808086727,5.054732670725241,0.0,0.23920348633823507,0.55
0.25,0.13,4,0.16058208808086727,7.517342193264105,0.0,0.30516627706311217,0.775
0.25,0.13,5,0.16058208808086727,9.925699315012581,0.0,0.374921061457766,0.9750000000000001
0.25,0.13,6,0.16058208808086727,12.160774022212797,0.0,0.44838611171019116,1.175
0.25,0.13,7,0.16058208808086727,14.191542161602367,0.0,0.5229044649475106,1.4000000000000001
0.25,0.13,8,0.16058208808086727,16.035124945900957,0.0,0.5972379735985225,1.625
0.25,0.13,9,0.16058208808086727,17.727039064788727,0.0,0.6702711437045428,1.85
0.25,0.13,10,0.16058208808086727,19.305040721949567,0.0,0.7416615932706783,2.075
0.25,0.13,11,0.16058208808086727,20.80232126912375,0.0,0.8114266768046748,2.3000000000000003
0.25,0.13,12,0.16058208808086727,22.245614529512284,0.0,0.879724398171444,2.5250000000000004
0.25,0.14,3,0.15580671780813335,5.108904915802132,0.0,0.24811019260243183,0.55
0.25,0.14,4,0.15580671780813335,7.634392208881685,0.0,0.3139818529320728,0.775
0.25,0.14,5,0.15580671780813335,10.12036102568034,0.0,0.3837749167471228,0.9750000000000001
0.25,0.14,6,0.15580671780813335,12.436872487552632,0.0,0.45733185395649206,1.175
0.25,0.14,7,0.15580671780813335,14.54560414950831,0.0,0.531988559366094,1.4000000000000001
0.25,0.14,8,0.15580671780813335,16.460514417521704,0.0,0.6065148716315772,1.625
0.25,0.14,9,0.15580671780813335,18.216680218237613,0.0,0.6797597793780812,1.85
0.25,0.14,10,0.15580671780813335,19.852715413071742,0.0,0.7513598147802963,2.075
0.25,0.14,11,0.15580671780813335,21.40307830524415,0.0,0.8213228463369198,2.3000000000000003
0.25,0.14,12,0.15580671780813335,22.895748921106552,0.0,0.8898041659048016,2.5250000000000004
0.25,0.15000000000000002,3,0.15122758023781604,5.162510697208865,0.0,0.2568216349253662,0.55
0.25,0.15000000000000002,4,0.15122758023781604,7.751344889011948,0.0,0.322582138695808,0.775
0.25,0.15000000000000002,5,0.15122758023781604,10.316374439508492,0.0,0.39238414575890745,0.9750000000000001
0.25,0.15000000000000002,6,0.15122758023781604,12.716446362938662,0.0,0.4660148922016544,1.175
0.25,0.15000000000000002,7,0.15122758023781604,14.905459079071639,0.0,0.5408028809051648,1.4000000000000001
0.25,0.15000000000000002,8,0.15122758023781604,16.893861834548577,0.0,0.6155191709011983,1.625
0.25,0.15000000000000002,9,0.15122758023781604,18.71613865320853,0.0,0.688974302519525,1.85
0.25,0.15000000000000002,10,0.15122758023781604,20.411740646411815,0.0,0.7607823763214199,2.075
0.25,0.15000000000000002,11,0.15122758023781604,22.016436082388708,0.0,0.8309412843342023,2.3000000000000003
0.25,0.15000000000000002,12,0.15122758023781604,23.559513404356867,0.0,0.899603539372744,2.5250000000000004
