side,Omega_center,Delta_center,box_status,passed,sigma_minus_diff,alpha_center,y_center,sigma_center,worst_sigma,max_diff
1,0.2648,0.0818199713717401,certified_box,True,0.022311778694506096,0.2798656744442947,0.5954999999999999,0.023359766220807265,0.022824961292771482,0.0010479875263011708
2,0.2648,0.0817599713717401,certified_box,True,0.021937528936905055,0.28056825670106295,0.5954999999999999,0.022766418718067453,0.022764146365190592,0.000828889781162398
1,0.2648049999999999,0.0818325099003687,certified_box,True,0.022311465086990116,0.27986987108808403,0.5954999999999999,0.023358748574987986,0.02282492400703657,0.0010472834879978702
2,0.2648049999999999,0.0817725099003687,certified_box,True,0.02193749841737922,0.28057127674939014,0.5954999999999999,0.022766388181802197,0.022764114810540727,0.0008288897644229744
1,0.26481,0.0818450461999699,certified_box,True,0.022311158132820835,0.27987406352717675,0.5954999999999999,0.023357740757186815,0.022824893415428402,0.0010465826243659813
2,0.26481,0.0817850461999699,certified_box,True,0.02193747453660681,0.28057429658168526,0.5954999999999999,0.022766364284289752,0.02276407848030527,0.000828889747682944
1,0.2648149999999999,0.0818575802711025,certified_box,True,0.0223108578239878,0.27987825179210807,0.5954999999999999,0.023356742742334357,0.022824869506708492,0.001045884918346554
2,0.2648149999999999,0.0817975802711025,certified_box,True,0.021937457294422442,0.280577316197871,0.5954999999999999,0.022766347025364942,0.0227640487896128,0.0008288897309425004
1,0.26482,0.0818701121148839,certified_box,True,0.02231056416373392,0.27988243590094153,0.5954999999999999,0.023355754515842334,0.022824813985240465,0.0010451903521084144
2,0.26482,0.0818101121148839,certified_box,True,0.021937446690607633,0.28058033559798035,0.5954999999999999,0.022766336404809226,0.0227640257382554,0.0008288897142015943
1,0.264825,0.0818826417324319,certified_box,True,0.022310277155293712,0.27988661587153285,0.5954999999999999,0.023354776063286894,0.022824758847745298,0.0010444989079931813
2,0.264825,0.0818226417324319,certified_box,True,0.021937442724937563,0.28058335478204766,0.5954999999999999,0.022766332422397544,0.02276400932601954,0.0008288896974599831
1,0.2648299999999999,0.081895169124864,certified_box,True,0.022309996801898015,0.2798907917216408,0.5954999999999999,0.023353807370315196,0.022824710395326724,0.001043810568417181
2,0.2648299999999999,0.081835169124864,certified_box,True,0.02193744539718189,0.2805863737501067,0.5954999999999999,0.022766335077899946,0.022763999552685633,0.0008288896807180548
1,0.264835,0.0819076942932978,certified_box,True,0.02230972310671893,0.27989496346892434,0.5954999999999999,0.02335284842264742,0.02282466862839458,0.0010431253159284921
2,0.264835,0.0818476942932978,certified_box,True,0.021937454707103794,0.2805893925021922,0.5954999999999999,0.022766344371079335,0.02276399641802849,0.0008288896639755388
1,0.2648399999999999,0.0819202172377333,certified_box,True,0.022309456050672437,0.2798991311554757,0.5954999999999999,0.02335189918543901,0.022824633524527415,0.0010424431347665724
2,0.2648399999999999,0.0818602172377332,certified_box,True,0.021937470654558158,0.2805924110381134,0.5954999999999999,0.022766360301790575,0.022763959877294432,0.0008288896472324176
1,0.264845,0.0819327379615232,certified_box,True,0.022309195681501897,0.27990329474945874,0.5954999999999999,0.02335095968602774,0.022824605129968107,0.0010417640045258427
2,0.264845,0.0818727379615232,certified_box,True,0.02193749323910396,0.2805954293583545,0.5954999999999999,0.02276638286959279,0.02276392530762739,0.0008288896304888274
1,0.26485,0.08194525646355,certified_box,True,0.022308941957823916,0.2799074543173009,0.5954999999999999,0.023350029869075493,0.02282458296022583,0.001041087911251578
2,0.26485,0.08188525646355,certified_box,True,0.021937522460679842,0.2805984474625009,0.5954999999999999,0.022766412074424657,0.02276389737714316,0.0008288896137448151
1,0.264855,0.0819577727460488,certified_box,True,0.02230869490504074,0.27991160985154473,0.5954999999999999,0.023349109741390327,0.022824523321468098,0.0010404148363495885
2,0.264855,0.0818977727460488,certified_box,True,0.02193755831893035,0.28060146535081176,0.5954999999999999,0.022766447915930525,0.02276387608553543,0.0008288895970001758
1,0.26486,0.0819702868101373,certified_box,True,0.02230845452624287,0.2799157613692205,0.5954999999999999,0.023348199289169598,0.022824470371573393,0.0010397447629267277
2,0.26486,0.0819102868101373,certified_box,True,0.02193760081358862,0.28060448302332347,0.5954999999999999,0.022766490393843607,0.022763861432587483,0.0008288895802549864
1,0.2648649999999999,0.0819827986558154,certified_box,True,0.022308220802432534,0.2799199089116461,0.5954999999999999,0.02334729847816767,0.02282442408838324,0.0010390776757351376
2,0.2648649999999999,0.0819227986558154,certified_box,True,0.02193764994448015,0.2806075004798454,0.5954999999999999,0.022766539507989517,0.02276385341817485,0.0008288895635093656
1,0.26487,0.0819953082853183,certified_box,True,0.02230799375881221,0.2799240524711372,0.5954999999999999,0.023346407315352792,0.022824384495163573,0.0010384135565405835
2,0.26487,0.0819353082853183,certified_box,True,0.02193770571123232,0.28061051772063733,0.5954999999999999,0.022766595257995504,0.022763849971277797,0.000828889546763181
1,0.2648749999999999,0.0820078156997635,certified_box,True,0.02230777339842974,0.27992819206433806,0.5954999999999999,0.023345525787215767,0.022824351592445634,0.0010377523887860267
2,0.2648749999999999,0.0819478156997635,certified_box,True,0.021937768113560786,0.2806135347457359,0.5954999999999999,0.022766657643577267,0.02276381052161007,0.0008288895300164822
1,0.26488,0.0820203208991512,certified_box,True,0.022307559702333193,0.2799323277321387,0.5954999999999999,0.02334465385984078,0.022824325358201277,0.001037094157507587
2,0.26488,0.0819603208991512,certified_box,True,0.02193783715127255,0.28061655155495197,0.5954999999999999,0.022766726664541898,0.02276377771086813,0.0008288895132693492
1,0.264885,0.0820328238845989,certified_box,True,0.02230735267364867,0.2799364594908502,0.5954999999999999,0.02334379151997832,0.022824298622381996,0.0010364388463296502
2,0.264885,0.0819728238845989,certified_box,True,0.021937912824073293,0.2806195681483214,0.5954999999999999,0.022766802320594838,0.022763751538845047,0.0008288894965215467
1,0.2648899999999999,0.0820453246583417,certified_box,True,0.02230715233735424,0.2799405873324601,0.5954999999999999,0.02334293877483164,0.022824241154986196,0.0010357864374774006
2,0.2648899999999999,0.0819853246583417,certified_box,True,0.02193799513156585,0.28062258452610467,0.5954999999999999,0.022766884611339234,0.022763732005234454,0.0008288894797733841
1,0.264895,0.0820578232203796,certified_box,True,0.02230695867454663,0.27994471129738047,0.5954999999999999,0.023342095590856444,0.02282419035897837,0.0010351369163098163
