Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_gap3,sigma_center_min,y_at_min,pert_bound,k4_gt_k3_margin,passed
0.2,0.21000000000000002,0.05,0.060000000000000005,0.28442998590636354,0.02278332946079949,-0.6035068765142615,0.0567640799031741,-0.03398075044237461,False
0.2,0.21000000000000002,0.060000000000000005,0.07,0.2856049055097755,0.022340402371422888,0.6036377224793021,0.05676771451331407,-0.03442731214189118,False
0.2,0.21000000000000002,0.07,0.08000000000000002,0.28699719357669584,0.021807326031404842,-0.6037886633582978,0.05677190731550841,-0.03496458128410357,False
0.2,0.21000000000000002,0.08000000000000002,0.09000000000000001,0.2886084913808285,0.021183316907832133,0.6039596840849555,0.056776657891249166,-0.03559334098341703,False
0.2,0.21000000000000002,0.09000000000000001,0.1,0.2904404938565391,0.020467661303584135,-0.6041507676068942,0.05678196576685843,-0.03631430446327429,False
0.2,0.21000000000000002,0.1,0.11000000000000001,0.2924948437363343,0.019659823039497107,0.6043618948941099,0.05678783041372526,-0.03712800737422815,False
0.2,0.21000000000000002,0.11000000000000001,0.12000000000000001,0.2947729976858388,0.0187595890040159,0.6045930449484178,0.056794251248566824,-0.038034662244550925,False
0.21000000000000002,0.22000000000000003,0.05,0.060000000000000005,0.28726764261571974,0.024079045319421375,-0.6374917646526903,0.056776099069807615,-0.03269705375038624,False
0.21000000000000002,0.22000000000000003,0.060000000000000005,0.07,0.2883356960435467,0.023693674711565367,-0.6376297809073836,0.05677973107651012,-0.03308605636494475,False
0.21000000000000002,0.22000000000000003,0.07,0.08000000000000002,0.2896000954602083,0.023229923397118546,-0.6377889933198908,0.056783920876839034,-0.03355399747972049,False
0.21000000000000002,0.22000000000000003,0.08000000000000002,0.09000000000000001,0.29106173511992467,0.02268764222187763,-0.6379693860209912,0.05678866805318436,-0.03410102583130673,False
0.21000000000000002,0.22000000000000003,0.09000000000000001,0.1,0.2927214950178664,0.02206683829399414,-0.6381709410494967,0.05679397213288159,-0.03472713383888745,False
0.21000000000000002,0.22000000000000003,0.1,0.11000000000000001,0.2945801648300062,0.021367773629309257,-0.6383936383611584,0.05679983258845134,-0.03543205895914208,False
0.21000000000000002,0.22000000000000003,0.11000000000000001,0.12000000000000001,0.2966383506409116,0.020591095797189925,-0.6386374558385999,0.05680624883785776,-0.03621515304066783,False
0.22000000000000003,0.23000000000000004,0.05,0.060000000000000005,0.2902528715619788,0.025556766850011597,-0.6715467221273581,0.056788668053184374,-0.031231901203172777,False
0.22000000000000003,0.23000000000000004,0.060000000000000005,0.07,0.29122986082890295,0.025223129870676715,0.6716918936536285,0.0567922973413406,-0.031569167470663885,False
0.22000000000000003,0.23000000000000004,0.07,0.08000000000000002,0.29238562446805855,0.024821406744258232,-0.6718593602830882,0.056796484007077375,-0.031975077262819146,False
0.22000000000000003,0.23000000000000004,0.08000000000000002,0.09000000000000001,0.2937205909520408,0.024351803888435906,-0.6720491053487088,0.05680122763371817,-0.032449423745282265,False
0.22000000000000003,0.23000000000000004,0.09000000000000001,0.1,0.29523513971137116,0.023814710403664282,-0.6722611099862892,0.05680652774965719,-0.03299181734599291,False
0.22000000000000003,0.23000000000000004,0.1,0.11000000000000001,0.2969295459333795,0.023210777208222583,-0.6724953531437965,0.05681238382859455,-0.03360160662037197,False
0.22000000000000003,0.23000000000000004,0.11000000000000001,0.12000000000000001,0.2988039143233881,0.022541018803731157,-0.6727518115917626,0.056818795289793805,-0.034277776486062644,False
0.23000000000000004,0.24000000000000005,0.05,0.060000000000000005,0.2933744915507412,0.027164951539956184,0.7056749960144533,0.05680178561939185,-0.029636834079435667,False
0.23000000000000004,0.24000000000000005,0.060000000000000005,0.07,0.2942733686774155,0.0268766362954068,-0.7058273071368095,0.05680541207468613,-0.029928775779279333,False
0.23000000000000004,0.24000000000000005,0.07,0.08000000000000002,0.2953361653667706,0.026529056806517782,0.7060030099085992,0.05680959547401443,-0.030280538667496647,False
0.23000000000000004,0.24000000000000005,0.08000000000000002,0.09000000000000001,0.2965630165308456,0.026122578519032942,-0.7062020868703236,0.05681433540167455,-0.030691756882641606,False
0.23000000000000004,0.24000000000000005,0.09000000000000001,0.1,0.29795399077382373,0.025657741270459125,0.706424518260798,0.056819631387162034,-0.03116189011670291,False
0.23000000000000004,0.24000000000000005,0.1,0.11000000000000001,0.2995090498388396,0.025135317914592354,-0.7066702820269146,0.05682548290540268,-0.03169016499081033,False
0.23000000000000004,0.24000000000000005,0.11000000000000001,0.12000000000000001,0.30122800070661354,0.024556387643364874,0.7069393538345405,0.05683188937701275,-0.03227550173364788,False
0.24000000000000005,0.25000000000000006,0.05,0.060000000000000005,0.296622366861734,0.028865808565467013,0.7398798213223561,0.056815450484599225,-0.027949641919132212,False
0.24000000000000005,0.25000000000000006,0.060000000000000005,0.07,0.297453897135305,0.02861657444110754,-0.7400392557155318,0.056819073993534794,-0.028202499552427252,False
0.24000000000000005,0.25000000000000006,0.07,0.08000000000000002,0.2984366791335961,0.028315571652243052,-0.7402231758057827,0.056823253995585965,-0.028507682343342913,False
0.24000000000000005,0.25000000000000006,0.08000000000000002,0.09000000000000001,0.2995706614206585,0.027963206769223252,0.7404315633466734,0.0568279900760604,-0.02886478330683715,False
0.24000000000000005,0.25000000000000006,0.09000000000000001,0.1,0.3008557184093993,0.027560037663941408,0.7406643976862934,0.056833281765597626,-0.02927324410165622,False
0.24000000000000005,0.25000000000000006,0.1,0.11000000000000001,0.30229162019033473,0.027106815048757026,-0.7409216557774521,0.05683912854039708,-0.02973231349164005,False
0.24000000000000005,0.25000000000000006,0.11000000000000001,0.12000000000000001,0.3038779973055081,0.026604533226538597,0.7412033121890378,0.05684552982247834,-0.030240996595939745,False
0.25000000000000006,0.26000000000000006,0.05,0.060000000000000005,0.2999870957585567,0.03063179563198576,-0.7741644205206022,0.0568296613156649,-0.026197865683679142,False
0.25000000000000006,0.26000000000000006,0.060000000000000005,0.07,0.30076033713133704,0.030415908368249353,-0.7743309612174887,0.05683328176559764,-0.026417373397348287,False
0.25000000000000006,0.26000000000000006,0.07,0.08000000000000002,0.3016739562732655,0.030154602775966845,-0.774523079062206,0.0568374582404827,-0.02668285546451585,False
0.25000000000000006,0.26000000000000006,0.08000000000000002,0.09000000000000001,0.3027277828404897,0.02984826556920344,0.7747407550271248,0.05684219032667667,-0.026993924757473232,False
0.25000000000000006,0.26000000000000006,0.09000000000000001,0.1,0.3039215695541552,0.02949740820203512,0.7749839675761052,0.05684747755600214,-0.02735006935396702,False
0.25000000000000006,0.26000000000000006,0.1,0.11000000000000001,0.30525496947576025,0.029102695584472416,0.7752526926751031,0.05685331940598015,-0.027750623821507735,False
0.25000000000000006,0.26000000000000006,0.11000000000000001,0.12000000000000001,0.3067275097050864,0.02866498051128787,0.7755469038040186,0.05685971530008779,-0.028194734788799924,False
0.26000000000000006,0.2700000000000001,0.05,0.060000000000000005,0.30345979594576333,0.03244278629327208,-0.8085320030771825,0.056844416730774214,-0.024401630437502132,False
0.26000000000000006,0.2700000000000001,0.060000000000000005,0.07,0.30418245310907305,0.03225512068485084,-0.8087056324769843,0.05684803400993753,-0.024592913325086688,False
0.26000000000000006,0.2700000000000001,0.07,0.08000000000000002,0.3050361094260772,0.032027412018147586,-0.8089059277814705,0.056852206828780893,-0.024824794810633308,False
0.26000000000000006,0.2700000000000001,0.08000000000000002,0.09000000000000001,0.3060205182668504,0.031760002452197865,0.8091328691877511,0.05685693477474449,-0.025096932322546624,False
0.26000000000000006,0.2700000000000001,0.09000000000000001,0.1,0.3071353559207477,0.03145333428154493,0.8093864342821657,0.05686221738087835,-0.025408883099333417,False
0.26000000000000006,0.2700000000000001,0.1,0.11000000000000001,0.30838020428334384,0.031107969506091526,0.8096665980513205,0.056868054126069545,-0.02576008461997802,False
0.26000000000000006,0.2700000000000001,0.11000000000000001,0.12000000000000001,0.3097545309491398,0.030724612950267606,-0.8099733328943621,0.05687444443529885,-0.026149831485031243,False
0.2700000000000001,0.2800000000000001,0.05,0.060000000000000005,0.3070319562377146,0.034283953860155376,-0.842985765004368,0.05685971530008781,-0.02257576143993243,False
0.2700000000000001,0.2800000000000001,0.060000000000000005,0.07,0.30771064689956584,0.03411998474127526,-0.8431664648810457,0.05686332929762104,-0.02274334455634578,False
0.2700000000000001,0.2800000000000001,0.07,0.08000000000000002,0.3085122220746558,0.03392051778942584,-0.8433749166296085,0.056867498332592525,-0.022946980543166684,False
0.2700000000000001,0.2800000000000001,0.08000000000000002,0.09000000000000001,0.3094363857563086,0.03368584713134655,0.8436110996780446,0.05687222199356065,-0.0231863748622141,False
0.2700000000000001,0.2800000000000001,0.09000000000000001,0.1,0.3104827659806593,0.033416346541936086,-0.8438749907421119,0.056877499814842,-0.02346115327290591,False
0.2700000000000001,0.2800000000000001,0.1,0.11000000000000001,0.31165090149970687,0.0331124826453243,-0.8441665638367812,0.05688333127673584,-0.02377084863141154,False
0.2700000000000001,0.2800000000000001,0.11000000000000001,0.12000000000000001,0.31294022653411163,0.0327748303346771,0.844485790288978,0.05688971580577992,-0.02411488547110282,False
0.2800000000000001,0.2900000000000001,0.05,0.060000000000000005,0.31069533474240923,0.0361442491543432,0.8775288884133676,0.05687555554641131,-0.020731306392068112,False
0.2800000000000001,0.2900000000000001,0.060000000000000005,0.07,0.3113357929340252,0.03599999683207211,-0.8777166399242979,0.05687916615238996,-0.020879169320317845,False
0.2800000000000001,0.2900000000000001,0.07,0.08000000000000002,0.31209210246125074,0.035824080628634625,-0.8779332263902528,0.05688333127673584,-0.021059250648101213,False
0.2800000000000001,0.2900000000000001,0.08000000000000002,0.09000000000000001,0.31296393480928775,0.03561675451248689,0.878178626476414,0.056888050509161986,-0.0212712959966751,False
0.2800000000000001,0.2900000000000001,0.09000000000000001,0.1,0.31395088712050867,0.035378336266422165,0.878452816035102,0.0568933233852906,-0.021514987118868435,False
0.2800000000000001,0.2900000000000001,0.1,0.11000000000000001,0.3150524718431899,0.035109216291448773,0.8787557681176263,0.05689914938687757,-0.021789933095428794,False
0.2800000000000001,0.2900000000000001,0.11000000000000001,0.12000000000000001,0.316268104934489,0.03480986780490899,-0.8790874529874699,0.056905527942066464,-0.022095660137157476,False
0.2900000000000001,0.3000000000000001,0.05,0.060000000000000005,0.3144418905514469,0.03801532153563421,-0.9121645410779795,0.056891935945888136,-0.018876614410253928,False
0.2900000000000001,0.3000000000000001,0.060000000000000005,0.07,0.31504912383800193,0.03788728469174794,0.9123593247728667,0.05689554305134957,-0.019008258359601633,False
0.2900000000000001,0.3000000000000001,0.07,0.08000000000000002,0.31576611046987413,0.03773080268048324,-0.9125840235287939,0.056899704139421914,-0.019168901458938674,False
0.2900000000000001,0.3000000000000001,0.08000000000000002,0.09000000000000001,0.3165924998528258,0.03754610243198587,0.9128386152546355,0.05690441880101191,-0.01935831636902604,False
