side,offset,Omega_center,Delta_center,box_status,passed,sigma_minus_diff,alpha_center,y_center,sigma_center,worst_sigma,max_diff
1,0.00256,0.2648,0.0843499713717401,certified_box,True,0.03916202436345051,0.26026978371459103,0.5954999999999999,0.04000575017251497,0.03988143041085887,0.0008437258090644611
2,0.00256,0.2648,0.0792299713717401,certified_box,True,0.02215163163912364,0.2800676405280565,0.5954999999999999,0.022981880022053258,0.02297888482754905,0.0008302483829296168
1,0.00512,0.2648,0.0869099713717401,certified_box,True,0.04708511436956778,0.251102445511275,0.595,0.047921962952322386,0.04783576473503509,0.0008368485827546033
2,0.00512,0.2648,0.0766699713717401,crosses_boundary,False,,,,,,
1,0.00256,0.2648049999999999,0.08436250990036871,certified_box,True,0.03915737473714827,0.2602782765662698,0.5954999999999999,0.040001098025115076,0.03987684942499818,0.0008437232879668069
2,0.00256,0.2648049999999999,0.0792425099003687,certified_box,True,0.02215156006001314,0.2800705996175571,0.5954999999999999,0.02298180842293209,0.02297888952024528,0.0008302483629189496
1,0.00512,0.2648049999999999,0.0869225099003687,certified_box,True,0.04708129970635698,0.2511100873683121,0.595,0.04791814750416819,0.047831896265391,0.0008368477978112043
2,0.00512,0.2648049999999999,0.0766825099003687,crosses_boundary,False,,,,,,
1,0.00256,0.26481,0.08437504619996991,certified_box,True,0.039152730627195986,0.2602867672759145,0.5954999999999999,0.0399964513912082,0.039872273990455245,0.0008437207640122118
2,0.00256,0.26481,0.0792550461999699,certified_box,True,0.022151495038863416,0.28007355851032983,0.5954999999999999,0.02298174338177037,0.022978900770082626,0.0008302483429069553
1,0.00512,0.26481,0.0869350461999699,certified_box,True,0.04707746104212336,0.25111772825691336,0.5954999999999999,0.0479143081993232,0.04782803171855474,0.0008368471571998372
2,0.00512,0.26481,0.0766950461999699,crosses_boundary,False,,,,,,
1,0.00256,0.2648149999999999,0.0843875802711025,certified_box,True,0.03914809203280205,0.2602952558457805,0.5954999999999999,0.039991810270008574,0.03986768502428182,0.0008437182372065267
2,0.00256,0.2648149999999999,0.07926758027110249,certified_box,True,0.02215143657555859,0.2800765172062912,0.5954999999999999,0.022981684898452526,0.02297891857688302,0.0008302483228939371
1,0.00512,0.2648149999999999,0.0869475802711025,certified_box,True,0.047073546612860694,0.2511253681783494,0.5954999999999999,0.047910392983965315,0.047824171094055054,0.0008368463711046222
2,0.00512,0.2648149999999999,0.0767075802711025,crosses_boundary,False,,,,,,
1,0.00256,0.26482,0.08440011211488391,certified_box,True,0.03914345895529471,0.2603037422756539,0.5954999999999999,0.03998717466284919,0.03986309486718482,0.0008437157075544793
2,0.00256,0.26482,0.0792801121148839,certified_box,True,0.022151384669930357,0.2800794757054673,0.5954999999999999,0.022981632972810088,0.022978930285316446,0.0008302483028797313
1,0.00512,0.26482,0.0869601121148839,certified_box,True,0.04706963609118704,0.25113300713222736,0.5954999999999999,0.047906481675617826,0.04782031439287345,0.0008368455844307869
2,0.00512,0.26482,0.0767201121148839,crosses_boundary,False,,,,,,
1,0.00256,0.264825,0.0844126417324319,certified_box,True,0.03913883139600753,0.26031222656531455,0.5954999999999999,0.03998254457106663,0.039858510258058304,0.0008437131750591027
2,0.00256,0.264825,0.07929264173243189,certified_box,True,0.022151339321806664,0.2800824340078827,0.5954999999999999,0.02298158760467078,0.022978916927020213,0.0008302482828641167
1,0.00512,0.264825,0.0869726417324319,certified_box,True,0.04706572947809887,0.2511406451181462,0.5954999999999999,0.04790257427527758,0.04781646161599656,0.000836844797178713
2,0.00512,0.264825,0.0767326417324319,crosses_boundary,False,,,,,,
1,0.00256,0.2648299999999999,0.084425169124864,certified_box,True,0.03913420935627569,0.26032070871453933,0.5954999999999999,0.03997791999599878,0.03985393119822281,0.0008437106397230876
2,0.00256,0.2648299999999999,0.07930516912486399,certified_box,True,0.022151300531007667,0.2800853921135631,0.5954999999999999,0.02298154879385519,0.02297891012612241,0.000830248262847524
1,0.00512,0.2648299999999999,0.086985169124864,certified_box,True,0.04706182677459257,0.25114828213570495,0.5954999999999999,0.04789867078394113,0.0478126127644091,0.0008368440093485626
2,0.00512,0.2648299999999999,0.076745169124864,crosses_boundary,False,,,,,,
1,0.00256,0.264835,0.08443769429329781,certified_box,True,0.03912959283743105,0.26032918872310534,0.5954999999999999,0.03997330093898167,0.039849357688991935,0.0008437081015506229
2,0.00256,0.264835,0.0793176942932978,certified_box,True,0.022151268297349827,0.2800883500225335,0.5954999999999999,0.022981516540179395,0.022978909882411188,0.0008302482428295664
1,0.00512,0.264835,0.0869976942932978,certified_box,True,0.047057927981661266,0.2511559181845055,0.5954999999999999,0.047894771202601785,0.047808756618315705,0.0008368432209405173
2,0.00512,0.264835,0.0767576942932978,crosses_boundary,False,,,,,,
1,0.00256,0.2648399999999999,0.0844502172377332,certified_box,True,0.039124981836553066,0.2603376665957349,0.5954999999999999,0.03996868739710445,0.03984478972740471,0.0008437055605513857
2,0.00256,0.2648399999999999,0.07933021723773319,certified_box,True,0.022151242620735312,0.28009130773460317,0.5954999999999999,0.022981490843545768,0.02297891619576029,0.000830248222810457
1,0.00512,0.2648399999999999,0.0870102172377332,certified_box,True,0.047054033097405606,0.25116355326747514,0.5954999999999999,0.047890875529362525,0.047804894049394864,0.0008368424319569212
2,0.00512,0.2648399999999999,0.0767702172377332,crosses_boundary,False,,,,,,
1,0.00256,0.264845,0.0844627379615232,certified_box,True,0.03912037636349224,0.2603461423222941,0.5954999999999999,0.039964079380209086,0.03984022732334044,0.0008437030167168471
2,0.00256,0.264845,0.07934273796152319,certified_box,True,0.022151223500780696,0.280094265250234,0.5954999999999999,0.02298147170357085,0.022978929065760795,0.0008302482027901565
1,0.00512,0.264845,0.0870227379615232,certified_box,True,0.04705014212862637,0.2511711873775328,0.5954999999999999,0.047886983771021276,0.04780103540879018,0.0008368416423949087
2,0.00512,0.264845,0.0767827379615232,crosses_boundary,False,,,,,,
1,0.00256,0.26485,0.08447525646355,certified_box,True,0.039115776411067775,0.2603546159124583,0.5954999999999999,0.03995947688112932,0.03983564577871798,0.0008437004700615449
2,0.00256,0.26485,0.07935525646354999,certified_box,True,0.022151210937472333,0.2800972225690154,0.5954999999999999,0.022981459120241042,0.022978948492371008,0.000830248182768709
1,0.00512,0.26485,0.08703525646355,certified_box,True,0.047046255070518725,0.2511788205209488,0.5954999999999999,0.047883095922776224,0.04779718069167474,0.0008368408522574977
2,0.00512,0.26485,0.07679525646355,crosses_boundary,False,,,,,,
1,0.00256,0.264855,0.08448777274604881,certified_box,True,0.03911118198487701,0.26036308736103575,0.5954999999999999,0.03995487990546129,0.03983106863639454,0.0008436979205842831
2,0.00256,0.264855,0.0793677727460488,certified_box,True,0.022151204930510128,0.280100179691191,0.5954999999999999,0.022981453093256183,0.022978955604103034,0.000830248162746056
1,0.00512,0.264855,0.0870477727460488,certified_box,True,0.04704237192698672,0.2511864526939717,0.5954999999999999,0.047879211988530394,0.04779332990195611,0.0008368400615436689
2,0.00512,0.264855,0.0768077727460488,crosses_boundary,False,,,,,,
1,0.00256,0.26486,0.08450028681013731,certified_box,True,0.03910659308625432,0.260371556667795,0.5954999999999999,0.03995028845454136,0.03982649704615509,0.0008436953682870482
2,0.00256,0.26486,0.0793802868101373,certified_box,True,0.02215120547967938,0.280103136616789,0.5954999999999999,0.022981453622401473,0.02297894386620695,0.0008302481427220928
1,0.00512,0.26486,0.0870602868101373,certified_box,True,0.04703849269903408,0.25119408389618675,0.5954999999999999,0.047875331969288074,0.04778948304063035,0.0008368392702539896
2,0.00512,0.26486,0.0768202868101373,crosses_boundary,False,,,,,,
1,0.00256,0.2648649999999999,0.0845127986558154,certified_box,True,0.03910200971228192,0.26038002383744446,0.5954999999999999,0.039945702525462104,0.03982193100504851,0.0008436928131801809
2,0.00256,0.2648649999999999,0.07939279865581539,certified_box,True,0.02215121258485506,0.2801060933456185,0.5954999999999999,0.02298146070755209,0.0229789386853576,0.0008302481226970284
1,0.00512,0.2648649999999999,0.0870727986558154,certified_box,True,0.047034617384760856,0.2512017141305197,0.5954999999999999,0.04787145586315083,0.04778564010578447,0.0008368384783899759
