Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,y,sigma_min_Mk,abs_det_Mk,diff_norm_from_center
0.2664,0.0854,0.2814688479186217,0.5972999999999999,0.022910213539239437,0.06808040973558357,0.0009774777812483247
0.2664,0.0854,0.2814688479186217,0.5973999999999999,0.022901780079307148,0.06807075185962547,0.000877688464089345
0.2664,0.0854,0.2814688479186217,0.5974999999999999,0.022893646864657897,0.06806197830184824,0.0007779025921751169
0.2664,0.0854,0.2814688479186217,0.5975999999999999,0.022885814257086853,0.06805409074112445,0.0006781212265325453
0.2664,0.0854,0.2814688479186217,0.5976999999999999,0.022878282607024417,0.06804709082373683,0.0005783461782819885
0.2664,0.0854,0.2814688479186217,0.5978,0.022871052253469554,0.06804098016314587,0.0004785808217530692
0.2664,0.0854,0.2814688479186217,0.5979,0.02286412352392804,0.06803576033976245,0.00037883227687199447
0.2664,0.0854,0.2814688479186217,0.598,0.02285749673435013,0.0680314329007279,0.0002791188680417358
0.2664,0.0854,0.2814688479186217,0.5981,0.02285117218907172,0.06802799935969854,0.0001807601390782894
0.2664,0.0854,0.2814688479186217,0.5982,0.022845150180757192,0.0680254611966373,0.0002801111615498362
0.2664,0.0854,0.2814688479186217,0.5982999999999999,0.022839430990343974,0.06802381985761136,0.0003797972861593141
0.2664,0.0854,0.2814688479186217,0.5983999999999999,0.022834014886990824,0.06802307675459611,0.0004795185382287966
0.2664,0.0854,0.2814688479186217,0.5985,0.022828902128026445,0.06802323326528553,0.0005792567112754114
0.2664,0.0854,0.2814688479186217,0.5986,0.02282409295890208,0.06802429073290896,0.0006790047530378834
0.2664,0.0854,0.2814688479186217,0.5987,0.02281958761314503,0.06802625046605462,0.0007787593256880321
0.2664,0.0854,0.2814688479186217,0.5988,0.02281538631231495,0.06802911373849947,0.0008785186387007631
0.2664,0.0854,0.2814688479186217,0.5989,0.022811489265963318,0.06803288178904644,0.0009782816432182518
0.2664,0.0854125,0.28147144485962644,0.5972999999999999,0.02290917219515571,0.068077279312584,0.0009643249644332209
0.2664,0.0854125,0.28147144485962644,0.5973999999999999,0.02290073601263731,0.06806761265006275,0.0008644903458245148
0.2664,0.0854125,0.28147144485962644,0.5974999999999999,0.0228926000849684,0.06805883032989828,0.0007646585291086754
0.2664,0.0854125,0.28147144485962644,0.5975999999999999,0.02288476477407874,0.06805093403138135,0.0006648303612990913
0.2664,0.0854125,0.28147144485962644,0.5976999999999999,0.022877230430531883,0.06804392540121049,0.0005650073055778305
0.2664,0.0854125,0.28147144485962644,0.5978,0.022869997393460798,0.06803780605325922,0.00046519213697511345
0.2664,0.0854125,0.28147144485962644,0.5979,0.022863065990502245,0.06803257756834946,0.00036539087865288455
0.2664,0.0854125,0.28147144485962644,0.598,0.022856436537737976,0.06802824149403057,0.00026561988345790165
0.2664,0.0854125,0.28147144485962644,0.5981,0.022850109339633454,0.06802479934436398,0.00016720867337458527
0.2664,0.0854125,0.28147144485962644,0.5982,0.022844084688981678,0.06802225259971525,0.00026641332469631753
0.2664,0.0854125,0.28147144485962644,0.5982999999999999,0.02283836286684797,0.06802060270655105,0.00036616199288301424
