Omega_lo,Omega_hi,Delta_lo,Delta_hi,Omega_center,Delta_center,alpha_upper_gap3,Ymax,sigma_center_min,y_at_min,pert_bound,k4_gt_k3_margin,passed,depth
0.2,0.2025,0.05,0.052500000000000005,0.20125,0.051250000000000004,0.28442998590636354,13.402453133661764,0.019284479685597905,-0.5807729691253432,0.015584355472358924,0.003700124213238981,True,2
0.2,0.2025,0.052500000000000005,0.055,0.20125,0.053750000000000006,0.28470342280776095,13.4030546891371,0.01919029673871157,-0.5807990365292728,0.015584606120473618,0.003605690618237952,True,2
0.2025,0.20500000000000002,0.05,0.052500000000000005,0.20375000000000001,0.051250000000000004,0.2851249026309971,13.404733305814032,0.019957381398633917,0.5920423876734535,0.015585305544089545,0.004372075854544372,True,2
0.2025,0.20500000000000002,0.052500000000000005,0.055,0.20375000000000001,0.053750000000000006,0.28539175972083985,13.405334758968163,0.019861465108497827,-0.5920689518544275,0.015585556149569899,0.0042759089589279285,True,2
0.2,0.2025,0.055,0.057499999999999996,0.20125,0.056249999999999994,0.28499037273772915,13.403684195026381,0.019091424624662102,0.580826315117811,0.015584868414594263,0.003506556210067839,True,2
0.2,0.2025,0.057499999999999996,0.06,0.20125,0.05875,0.2852908589843401,13.404341647391714,0.018987876256792994,0.5808548047203068,0.015585142353079506,0.0034027339037134875,True,2
0.2025,0.20500000000000002,0.055,0.057499999999999996,0.20375000000000001,0.056249999999999994,0.28567178741114635,13.405964157791859,0.0197607356246069,-0.5920967503024741,0.015585818399080006,0.0041749172255268925,True,2
0.2025,0.20500000000000002,0.057499999999999996,0.06,0.20375000000000001,0.05875,0.2859650060064413,13.40662149834924,0.019655197917521957,-0.5921257828437572,0.015586092290978515,0.004069105626543442,True,2
0.20500000000000002,0.20750000000000002,0.05,0.052500000000000005,0.20625000000000002,0.051250000000000004,0.28582961684671093,13.407041060577088,0.02067264685572298,-0.59214431350882,0.015586267108573582,0.0050863797471494,True,2
0.20500000000000002,0.20750000000000002,0.052500000000000005,0.055,0.20625000000000002,0.053750000000000006,0.28609015910807667,13.407642410207695,0.020598947774862365,0.5921708731175066,0.01558651767091955,0.0050124301039428144,True,2
0.20750000000000002,0.21,0.05,0.052500000000000005,0.20875,0.051250000000000004,0.286543928043063,13.40937638371002,0.020826065248726173,0.6034219372669511,0.015587240159878835,0.005238825088847338,True,2
