Omega_over_gamma,Delta_over_gamma_fixed,dipolar_gap_exact_cubic_over_gamma,dipolar_gap_numeric_block_over_gamma,strong_drive_asymptote_over_gamma,abs_difference_exact_minus_numeric
0.0,0.18,0.49999999999999994,0.5,0.25,5.551115123125783e-17
0.0025,0.18,1.1066052738450689e-05,1.1066052738450673e-05,0.25,1.5246593050577406e-20
0.005,0.18,4.426647582239764e-05,4.4266475822397535e-05,0.25,1.0842021724855044e-19
0.0075,0.18,9.960806595185864e-05,9.960806595185865e-05,0.25,1.3552527156068805e-20
0.01,0.18,0.00017710215794516386,0.00017710215794516373,0.25,1.3552527156068805e-19
0.0125,0.18,0.00027676463523108587,0.00027676463523108543,0.25,4.336808689942018e-19
0.015,0.18,0.0003986159445672312,0.00039861594456723227,0.25,1.0842021724855044e-18
0.0175,0.18,0.0005426811150142215,0.0005426811150142227,0.25,1.1926223897340549e-18
0.02,0.18,0.0007089897812037926,0.0007089897812037919,0.25,6.505213034913027e-19
0.0225,0.18,0.0008975762109476867,0.0008975762109476866,0.25,1.0842021724855044e-19
0.025,0.18,0.0011084793372430843,0.0011084793372430827,0.25,1.5178830414797062e-18
0.0275,0.18,0.001341742794739417,0.0013417427947394155,0.25,1.5178830414797062e-18
0.03,0.18,0.0015974149607407041,0.0015974149607407054,0.25,1.3010426069826053e-18
0.0325,0.18,0.0018755490008270763,0.0018755490008270706,0.25,5.637851296924623e-18
0.035,0.18,0.0021762029191890334,0.0021762029191890317,0.25,1.734723475976807e-18
0.0375,0.18,0.0024994396137780965,0.0024994396137780948,0.25,1.734723475976807e-18
0.04,0.18,0.0028453269363880435,0.002845326936388048,0.25,4.336808689942018e-18
0.0425,0.18,0.0032139377577918393,0.003213937757791841,0.25,1.734723475976807e-18
0.045,0.18,0.0036053500380706874,0.003605350038070696,0.25,8.673617379884035e-18
0.0475,0.18,0.004019646902283491,0.0040196469022834745,0.25,1.6479873021779667e-17
0.05,0.18,0.004456916721637281,0.004456916721637294,0.25,1.3010426069826053e-17
0.0525,0.18,0.004917253200332202,0.0049172532003322125,0.25,1.0408340855860843e-17
0.055,0.18,0.0054007554682680824,0.00540075546826807,0.25,1.214306433183765e-17
0.0575,0.18,0.00590752817981381,0.005907528179813825,0.25,1.474514954580286e-17
0.06,0.18,0.006437681618855806,0.006437681618855805,0.25,8.673617379884035e-19
0.0625,0.18,0.006991331810357465,0.006991331810357465,0.25,0.0
