Omega_lo,Omega_hi,Delta_lo,Delta_hi,Omega_center,Delta_center,alpha_upper_lowrank,Ymax,sigma_center_min,y_at_min,pert_bound,k3_exclusion_margin,passed
0.2,0.21000000000000002,0.05,0.060000000000000005,0.20500000000000002,0.05500000000000001,0.09713408547991176,7.094758628734314,0.15237743360768516,-0.4079486211522232,0.03886844828591784,0.11350898532176731,True
0.2,0.21000000000000002,0.060000000000000005,0.07,0.20500000000000002,0.065,0.09615995812703479,7.097323439156482,0.15370584158383538,0.40809609775149713,0.03887165429894578,0.11483418728488959,True
0.2,0.21000000000000002,0.07,0.08000000000000002,0.20500000000000002,0.07500000000000001,0.09507213875620674,7.100281684553085,0.15521142204190172,-0.40826619686180265,0.038875352105691485,0.11633606993621023,True
0.2,0.21000000000000002,0.08000000000000002,0.09000000000000001,0.20500000000000002,0.08500000000000002,0.09388306555465303,7.103632873396541,0.15688222404570687,0.40845889022030146,0.0388795410917455,0.11800268295396138,True
0.2,0.21000000000000002,0.09000000000000001,0.1,0.20500000000000002,0.095,0.09260524638075412,7.107376449858274,0.15870614528324115,-0.4086741458668506,0.03888422056232275,0.1198219247209184,True
0.2,0.21000000000000002,0.1,0.11000000000000001,0.20500000000000002,0.10500000000000001,0.09125095914263998,7.111511794267095,0.16067121247557514,-0.40891192817035815,0.03888938974283396,0.12178182273274119,True
0.2,0.21000000000000002,0.11000000000000001,0.12000000000000001,0.20500000000000002,0.11500000000000002,0.08983201482598543,7.116038223618532,0.1627658057375111,-0.4091721978580658,0.03889504777952333,0.12387075795798777,True
0.21000000000000002,0.22000000000000003,0.05,0.060000000000000005,0.21500000000000002,0.05500000000000001,0.11063393862822304,7.10323869794617,0.1457846864413512,0.44395241862163637,0.038879048372432605,0.10690563806891859,True
0.21000000000000002,0.22000000000000003,0.060000000000000005,0.07,0.21500000000000002,0.065,0.10938640490294735,7.105800447521729,0.14735988611808723,0.44411252797010814,0.03888225055940197,0.10847763555868525,True
0.21000000000000002,0.22000000000000003,0.07,0.08000000000000002,0.21500000000000002,0.07500000000000001,0.10800241023605789,7.10875516528738,0.1491333142051007,-0.44429719783046107,0.03888594395660916,0.11024737024849154,True
0.21000000000000002,0.22000000000000003,0.08000000000000002,0.09000000000000001,0.21500000000000002,0.08500000000000002,0.10650000304317053,7.112102361468091,0.15108807436361935,-0.4445063975917556,0.038890127951834975,0.11219794641178438,True
0.21000000000000002,0.22000000000000003,0.09000000000000001,0.1,0.21500000000000002,0.095,0.10489685306869023,7.115841482214173,0.15320751594779278,-0.4447400926383853,0.038894801852767925,0.11431271409502486,True
0.21000000000000002,0.22000000000000003,0.1,0.11000000000000001,0.21500000000000002,0.10500000000000001,0.1032098314356927,7.119971910056949,0.15547562234608775,0.44499824437855917,0.03889996488757119,0.11657565745851656,True
0.21000000000000002,0.22000000000000003,0.11000000000000001,0.12000000000000001,0.21500000000000002,0.11500000000000002,0.10145471669305062,7.124492964415082,0.15787728733319825,0.4452808102759418,0.038905616205519,0.11897167112767926,True
0.22000000000000003,0.23000000000000004,0.05,0.060000000000000005,0.22500000000000003,0.05500000000000001,0.12624235382440768,7.112102361468091,0.1370508654797617,0.48006690939909547,0.03889012795183499,0.0981607375279267,True
0.22000000000000003,0.23000000000000004,0.060000000000000005,0.07,0.22500000000000003,0.065,0.12459548129083964,7.114660919537909,0.13897105449389816,-0.48023961206880905,0.038893326149422196,0.10007772834447595,True
0.22000000000000003,0.23000000000000004,0.07,0.08000000000000002,0.22500000000000003,0.07500000000000001,0.12278655453590176,7.117611959077286,0.1411112868290797,0.48043880723771615,0.038897014948846786,0.10221427188023291,True
0.22000000000000003,0.23000000000000004,0.08000000000000002,0.09000000000000001,0.22500000000000003,0.08500000000000002,0.12084278932942874,7.120954992134131,0.14344668002772076,-0.4806644619690541,0.03890119374016774,0.10454548628755303,True
0.22000000000000003,0.23000000000000004,0.09000000000000001,0.1,0.22500000000000003,0.095,0.11878977725412265,7.124689466917137,0.1459536829403139,-0.48091653901690634,0.03890586183364662,0.1070478211066673,True
0.22000000000000003,0.23000000000000004,0.1,0.11000000000000001,0.22500000000000003,0.10500000000000001,0.11665097436339109,7.128814768248646,0.14861054608845817,0.48119499685678413,0.038911018460310975,0.10969952762814719,True
