Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det,min_Re_Sigma_minus,min_Re_Sigma_plus
0.251,0.078,3,0.19249026412283116,0.09221345931384928,0.554,0.27241778807559863,0.5255,0.021566421980495687,0.020743495739497488
0.251,0.079,3,0.19182895687572837,0.09284297575399028,0.554,0.2745953819676935,0.525,0.021567092780127743,0.02073409586365911
0.251,0.08,3,0.19117185993352961,0.0934696970826446,0.554,0.27676815266173466,0.5245,0.021567762227960235,0.020724705496291896
0.251,0.081,3,0.19051890103513924,0.09409368140834472,0.554,0.27893623523051136,0.524,0.02156842999552539,0.02071532430377286
0.251,0.08199999999999999,3,0.18987001078585375,0.09471498445966671,0.554,0.2810997585102042,0.5235,0.02156909576774772,0.02070595196622097
0.251,0.08299999999999999,3,0.18922512248155665,0.09533365973265379,0.554,0.28325849558081073,0.5235,0.021569759242114496,0.02069658817666858
0.251,0.08399999999999999,3,0.18858417194672975,0.09594975862662086,0.554,0.2854125912821072,0.523,0.02157042012791176,0.020687232640297575
0.251,0.08499999999999999,3,0.1879470973850026,0.09656327907297128,0.5545,0.28756250942166917,0.5225,0.0215710781455197,0.02067788507373427
0.251,0.086,3,0.18731383924106865,0.09717431413004202,0.5545,0.2897083571564096,0.522,0.02157173302576188,0.020668545204397516
0.251,0.087,3,0.1866843400729439,0.0977829147988934,0.5545,0.29185023716310077,0.5215000000000001,0.021572384509303478,0.02065921276989537
0.251,0.088,3,0.18605854443364278,0.0983891252730963,0.5545,0.2939882479090768,0.521,0.02157303234609406,0.02064988751746583
0.251,0.089,3,0.18543639876143594,0.09899298818786728,0.5545,0.29612237937883135,0.521,0.02157367629485107,0.020640569203457866
0.251,0.09,3,0.18481785127795286,0.09959454470538497,0.5545,0.29825238256626796,0.5205,0.02157431612258038,0.02063125759284928
0.251,0.091,3,0.18420285189345276,0.10019383459408357,0.5545,0.3003788155543796,0.52,0.021574951604130813,0.020621952458798134
0.251,0.092,3,0.18359135211865785,0.10079089630243014,0.5545,0.3025017618587298,0.5195000000000001,0.021575582521779678,0.02061265358222503
0.251,0.093,3,0.18298330498260784,0.10138576702764147,0.5545,0.30462130187847275,0.519,0.02157620866484684,0.020603360751423674
0.251,0.094,3,0.18237866495603722,0.10197848277976126,0.5545,0.30673751306789376,0.5185,0.021576829829334853,0.020594073761697352
0.251,0.095,3,0.18177738787983266,0.10256907844146725,0.5545,0.3088504700960253,0.518,0.021577445817593178,0.020584792415019294
0.251,0.096,3,0.18117943089816285,0.10315758782395454,0.5545,0.31096024499532243,0.5175000000000001,0.021578056438004443,0.020575516519714995
0.251,0.097,3,0.1805847523959092,0.10374404371920641,0.5545,0.31306670509317047,0.5175000000000001,0.021578661504691062,0.02056624589016476
0.251,0.098,3,0.17999331194007462,0.10432847794892303,0.5545,0.3151699365689688,0.517,0.021579260837240637,0.02055698034652498
0.251,0.099,3,0.17940507022485025,0.10491092141037936,0.5545,0.3172702113647323,0.5165,0.021579854260448648,0.02054771971446659
0.251,0.1,3,0.17881998902007817,0.1054914041194311,0.5545,0.3193675919020014,0.516,0.0215804416040772,0.020538463824929517
