Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.26,0.0784,0.23332729566349208,0.06073112843624577,0.58095,0.18414026353568091,0.575
0.26,0.0785,0.2331485944906435,0.0608891238167926,0.58095,0.18468092882362436,0.575
0.26,0.0786,0.23297086821537355,0.06104630595337542,0.58095,0.18521919520875035,0.575
0.26,0.07869999999999999,0.23279410171461606,0.06120268755317947,0.58095,0.18575510058249217,0.575
0.26,0.0788,0.232618280241787,0.061358281007202746,0.58095,0.18628868189776207,0.575
0.26,0.0789,0.23244338941394851,0.061513098401032286,0.58095,0.1868199752008378,0.575
0.26,0.079,0.23226941519953695,0.06166715152514695,0.58095,0.18734901566184747,0.575
0.26,0.0791,0.232096343906614,0.06182045188478081,0.58095,0.1878758376039593,0.575
0.26,0.07919999999999999,0.2319241621716055,0.06197301070937804,0.58095,0.18840047453136607,0.575
0.26,0.0793,0.23175285694853204,0.06212483896163343,0.58095,0.18892295915604387,0.575
0.26,0.0794,0.23158241549866473,0.06227594734617842,0.58095,0.1894433234234653,0.575
0.26,0.0795,0.2314128253806299,0.06242634631788759,0.58095,0.18996159853719144,0.575
0.26,0.07959999999999999,0.23124407444089862,0.06257604608986472,0.58095,0.1904778149825169,0.575
0.26,0.0797,0.23107615080467214,0.06272505664109419,0.58095,0.1909920025491291,0.575
0.26,0.0798,0.23090904286713548,0.06287338772378566,0.58095,0.1915041903528542,0.575
0.26,0.0799,0.23074273928504513,0.06302104887043641,0.58095,0.19201440685657925,0.575
0.26,0.08,0.230577228968665,0.06316804940060279,0.58095,0.19252267989030397,0.575
0.26,0.08009999999999999,0.23041250107400793,0.06331439842741304,0.58095,0.19302903667043944,0.575
0.26,0.0802,0.23024854499538044,0.06346010486382905,0.58095,0.19353350381835233,0.575
0.26,0.0803,0.23008535035821406,0.06360517742866469,0.58095,0.19403610737819976,0.575
0.26,0.0804,0.22992290701216833,0.06374962465237598,0.58095,0.194536872834089,0.575
0.26,0.0805,0.22976120502449804,0.06389345488263214,0.58095,0.19503582512658105,0.575
0.26,0.08059999999999999,0.22960023467366852,0.06403667628967552,0.58095,0.19553298866857904,0.575
0.26,0.0807,0.2294399864432039,0.06417929687148785,0.58095,0.1960283873606402,0.575
0.26,0.0808,0.2292804510157698,0.06432132445875807,0.58095,0.19652204460570247,0.575
0.26,0.0809,0.22912161926746324,0.06446276671967875,0.58095,0.19701398332330036,0.575
0.26,0.081,0.22896348226232063,0.06460363116455616,0.58095,0.19750422596323672,0.575
0.26,0.08109999999999999,0.22880603124701454,0.06474392515026434,0.58095,0.19799279451878737,0.575
0.26,0.0812,0.22864925764574423,0.06488365588453575,0.58095,0.19847971053942393,0.575
0.26,0.0813,0.22849315305531087,0.06502283043009648,0.58095,0.19896499514307694,0.575
0.26,0.0814,0.22833770924035374,0.06516145570866758,0.58095,0.1994486690280034,0.575
0.26,0.0815,0.2281829181287689,0.06529953850481067,0.58095,0.19993075248419517,0.575
0.26,0.08159999999999999,0.228028771807274,0.06543708546965411,0.58095,0.20041126540442933,0.575
0.26,0.0817,0.2278752625171363,0.06557410312447959,0.58095,0.2008902272949086,0.575
0.26,0.0818,0.22772238265003106,0.06571059786420064,0.58095,0.20136765728558492,0.575
0.26,0.0819,0.2275701247440623,0.06584657596070413,0.58095,0.2018435741400692,0.575
0.26,0.08199999999999999,0.22741848147989394,0.06598204356609959,0.58095,0.20231799626527797,0.575
0.26,0.08209999999999999,0.2272674456770292,0.06611700671584363,0.58095,0.20279094172070294,0.575
0.26,0.0822,0.22711701029020043,0.06625147133177224,0.58095,0.20326242822741158,0.575
0.26,0.0823,0.22696716840588904,0.0663854432250227,0.58095,0.20373247317671972,0.575
0.26,0.0824,0.2268179132389445,0.0665189280988742,0.58095,0.20420109363862424,0.575
0.26,0.08249999999999999,0.22666923812933065,0.06665193155147978,0.58095,0.2046683063699114,0.575
0.26,0.08259999999999999,0.22652113653896136,0.0667844590785238,0.58095,0.20513412782204968,0.575
0.26,0.0827,0.2263736020486466,0.06691651607578676,0.58095,0.2055985741488051,0.575
0.26,0.0828,0.22622662835513463,0.06704810784163093,0.58095,0.2060616612136164,0.575
0.26,0.0829,0.22608020926824013,0.06717923957941026,0.58095,0.2065234045967615,0.575
0.26,0.08299999999999999,0.22593433870807567,0.06730991639979736,0.58095,0.20698381960225928,0.575
0.26,0.0831,0.22578901070235607,0.06744014332304617,0.58095,0.20744292126459757,0.575
0.26,0.0832,0.2256442193837938,0.06756992528118123,0.58095,0.20790072435522974,0.575
0.26,0.0833,0.22549995898757286,0.06769926712011828,0.58095,0.20835724338887868,0.575
0.26,0.0834,0.2253562238488986,0.06782817360172186,0.58095,0.20881249262965,0.575
0.26,0.08349999999999999,0.2252130084006217,0.0679566494058032,0.58095,0.2092664860969633,0.575
0.26,0.0836,0.22507030717093776,0.06808469913204933,0.58095,0.20971923757129088,0.575
0.26,0.0837,0.22492811478114744,0.0682123273019068,0.58095,0.21017076059975184,0.575
0.26,0.0838,0.22478642594349407,0.06833953836039786,0.58095,0.21062106850150691,0.575
0.26,0.0839,0.22464523545905196,0.06846633667789233,0.58095,0.21107017437303388,0.575
0.26,0.08399999999999999,0.2245045382156926,0.06859272655181857,0.58095,0.21151809109320144,0.575
0.26,0.0841,0.22436432918609467,0.06871871220833334,0.58095,0.21196483132824112,0.575
0.26,0.0842,0.2242246034258198,0.06884429780393805,0.58095,0.21241040753655213,0.575
