side,Omega_center,Delta_center,box_status,passed,sigma_minus_diff
1,0.26475,0.0768486260366439,certified_box,True,0.02236445000937153
2,0.26475,0.0769086260366439,certified_box,True,0.022333193436852798
1,0.2647525,0.0768502449285983,certified_box,True,0.02236485077252598
2,0.2647525,0.0769102449285984,certified_box,True,0.022333595372057247
1,0.2647549999999999,0.0768518638458848,certified_box,True,0.022365253015576056
2,0.2647549999999999,0.0769118638458848,certified_box,True,0.02233399879146292
1,0.2647575,0.0768534827840328,certified_box,True,0.02236565674273828
2,0.2647575,0.0769134827840328,certified_box,True,0.022334403695349288
1,0.26476,0.0768551017445325,certified_box,True,0.02236606195249291
2,0.26476,0.0769151017445325,certified_box,True,0.022334810083508717
1,0.2647625,0.0768567207288742,certified_box,True,0.022366468643323003
2,0.2647625,0.0769167207288742,certified_box,True,0.022335217955734888
1,0.264765,0.0768583397355675,certified_box,True,0.02236687681657588
2,0.264765,0.0769183397355675,certified_box,True,0.022335627312061415
1,0.2647675,0.0768599587661027,certified_box,True,0.02236728647073379
2,0.2647675,0.0769199587661027,certified_box,True,0.022336038152282637
1,0.26477,0.0768615778174996,certified_box,True,0.022367697608573017
2,0.26477,0.0769215778174996,certified_box,True,0.022336450476552486
1,0.2647724999999999,0.0768631968912482,certified_box,True,0.022368110228578
2,0.2647724999999999,0.0769231968912482,certified_box,True,0.02233686428466291
1,0.264775,0.0768648159888386,certified_box,True,0.022368524329228274
2,0.264775,0.0769248159888386,certified_box,True,0.02233727957640722
1,0.2647775,0.0768664351087808,certified_box,True,0.022368939911869366
2,0.2647775,0.0769264351087808,certified_box,True,0.022337696351817114
1,0.26478,0.0768680542510747,certified_box,True,0.022369356976415098
2,0.26478,0.0769280542510748,certified_box,True,0.022338114610804725
1,0.2647825,0.0768696734157204,certified_box,True,0.022369775522775772
2,0.2647825,0.0769296734157204,certified_box,True,0.02233853435328345
1,0.264785,0.0768712926042079,certified_box,True,0.02237019554943364
2,0.264785,0.0769312926042079,certified_box,True,0.022338955579042932
1,0.2647875,0.0768729118150472,certified_box,True,0.022370617057733827
2,0.2647875,0.0769329118150472,certified_box,True,0.02233937828811644
1,0.2647899999999999,0.0768745310467481,certified_box,True,0.02237104004901707
2,0.2647899999999999,0.0769345310467481,certified_box,True,0.022339802480533705
1,0.2647925,0.0768761503022909,certified_box,True,0.022371464520333
2,0.2647925,0.0769361503022909,certified_box,True,0.02234022815596567
1,0.264795,0.0768777695816755,certified_box,True,0.022371890471590977
2,0.264795,0.0769377695816755,certified_box,True,0.022340655314322506
1,0.2647974999999999,0.0768793888819217,certified_box,True,0.022372317905569122
2,0.2647974999999999,0.0769393888819217,certified_box,True,0.022341083955755747
1,0.2648,0.0768810082060098,certified_box,True,0.02237274681931013
2,0.2648,0.0769410082060098,certified_box,True,0.022341514079933896
1,0.2648025,0.0768826275524497,certified_box,True,0.022373177214159348
2,0.2648025,0.0769426275524497,certified_box,True,0.022341945686887337
1,0.264805,0.0768842469212413,certified_box,True,0.022373609090026024
2,0.264805,0.0769442469212413,certified_box,True,0.022342378776525035
1,0.2648075,0.0768858663123845,certified_box,True,0.02237404244681989
2,0.2648075,0.0769458663123845,certified_box,True,0.022342813348757592
1,0.26481,0.0768874857273697,certified_box,True,0.0223744772830175
2,0.26481,0.0769474857273697,certified_box,True,0.022343249403371603
1,0.2648125,0.0768891051632165,certified_box,True,0.022374913601393594
2,0.2648125,0.0769491051632166,certified_box,True,0.022343686940517433
1,0.2648149999999999,0.0768907246243953,certified_box,True,0.022375351397560944
2,0.2648149999999999,0.0769507246243953,certified_box,True,0.022344125959741536
1,0.2648175,0.0768923441064357,certified_box,True,0.022375790675723782
2,0.2648175,0.0769523441064357,certified_box,True,0.02234456646131311
1,0.26482,0.0768939636108279,certified_box,True,0.02237623143435842
2,0.26482,0.0769539636108279,certified_box,True,0.02234500844502023
1,0.2648225,0.0768955831375718,certified_box,True,0.022376662346591268
2,0.2648225,0.0769555831375718,certified_box,True,0.022345383478081612
1,0.264825,0.0768972026881575,certified_box,True,0.02237700045276087
2,0.264825,0.0769572026881575,certified_box,True,0.022345722675495984
1,0.2648275,0.076898822261095,certified_box,True,0.02237734004336388
