Omega_over_gamma,Delta_star_over_gamma,g_at_star,gap1_star,gap2_star,Delta_k1_side,gap1_k1_side,gap2_k1_side,winner_k1_side,Delta_k2_side,gap1_k2_side,gap2_k2_side,winner_k2_side,eta
0.2648,0.08178997137174011,-8.554268404736831e-14,0.280574290956614,0.28057429095652847,0.08181997137174012,0.2798656744442948,0.28058032751340073,1,0.08175997137174011,0.28138747264973946,0.280568256701063,2,3e-05
0.26480499999999996,0.08180250990036875,-6.611766689701426e-12,0.28057731173117906,0.2805773117245673,0.08183250990036875,0.27986987108809325,0.2805833490010765,1,0.08177250990036875,0.2813886946746851,0.2805712767493894,2,3e-05
0.26481,0.08181504619996995,-2.378874874864323e-12,0.2805803322787238,0.28058033227634493,0.08184504619996995,0.27987406352717265,0.28058637027226285,1,0.08178504619996994,0.28138992561284965,0.28057429658168553,2,3e-05
0.26481499999999997,0.0818275802711025,-3.8452574457892297e-13,0.28058335261216805,0.2805833526117835,0.0818575802711025,0.2798782517921185,0.28058939132688,1,0.0817975802711025,0.28139116540470094,0.2805773161978713,2,3e-05
0.26482,0.08184011211488396,5.06816810741384e-13,0.28058637273040926,0.2805863727309161,0.08187011211488396,0.27988243590094297,0.28059241216496306,1,0.08181011211488395,0.28139241397519005,0.28058033559798023,2,3e-05
0.264825,0.08185264173243195,1.458666520903762e-12,0.2805893926323188,0.28058939263377747,0.08188264173243195,0.2798866158715256,0.280595432786545,1,0.08182264173243195,0.28139367125002557,0.280583354782048,2,3e-05
0.26482999999999995,0.08186516912486405,3.665179271195029e-12,0.2805924123167369,0.2805924123204021,0.08189516912486405,0.27989079172164444,0.2805984531916609,1,0.08183516912486405,0.2813949371558181,0.2805863737501066,2,3e-05
0.264835,0.08187769429329783,8.305078846859715e-12,0.28059543178251867,0.28059543179082375,0.08190769429329783,0.2798949634689281,0.2806014733803455,1,0.08184769429329783,0.2813962116199379,0.2805893925021922,2,3e-05
0.26483999999999996,0.08189021723773329,-1.1310397063368782e-11,0.2805984510561621,0.2805984510448517,0.0819202172377333,0.2798991311554786,0.2806044933524072,1,0.08186021723773329,0.28139749460274593,0.2805924110381133,2,3e-05
0.264845,0.08190273796152325,1.8752221997431207e-12,0.2806014700810959,0.28060147008297115,0.08193273796152326,0.27990329474945996,0.2806075131083313,1,0.08187273796152325,0.2813987859687789,0.2805954293583545,2,3e-05
0.26485,0.08191525646355002,-6.649403250236219e-12,0.28060448891141754,0.28060448890476813,0.08194525646355003,0.27990745431729835,0.2806105326477039,1,0.08188525646355002,0.2814000857120615,0.28059844746250107,2,3e-05
0.264855,0.08192777274604884,-7.752132269445156e-12,0.2806075075182524,0.2806075075105003,0.08195777274604885,0.27991160985154695,0.2806135519707834,1,0.08189777274604884,0.28140139373092393,0.28060146535081143,2,3e-05
0.26486,0.08194028681013732,-1.811328864675943e-13,0.28061052590038565,0.2806105259002045,0.08197028681013732,0.2799157613692149,0.28061657107760674,1,0.08191028681013732,0.28140270995661765,0.2806044830233224,2,3e-05
0.26486499999999996,0.08195279865581542,-1.030675544910764e-11,0.2806135440839969,0.28061354407369016,0.08198279865581543,0.2799199089116496,0.2806195899679829,1,0.08192279865581542,0.2814040343529405,0.2806075004798449,2,3e-05
0.26487,0.08196530828531834,-9.138356737992126e-12,0.28061656204035684,0.2806165620312185,0.08199530828531834,0.2799240524711357,0.2806226086421741,1,0.08193530828531834,0.2814053668206829,0.28061051772063716,2,3e-05
0.26487499999999997,0.08197781569976359,4.62996307959429e-12,0.2806195797681952,0.28061957977282515,0.08200781569976359,0.2799281920643387,0.28062562710021455,1,0.08194781569976359,0.28140670729330935,0.2806135347457364,2,3e-05
0.26488,0.08199032089915127,4.798939023942239e-12,0.28062259729352285,0.2806225972983218,0.08202032089915127,0.27993232773213883,0.2806286453419163,1,0.08196032089915127,0.2814080557365216,0.2806165515549523,2,3e-05
0.264885,0.08200282388459891,-7.186917727608488e-12,0.280625614614929,0.2806256146077421,0.08203282388459891,0.27993645949085,0.28063166336731576,1,0.08197282388459891,0.28140941208497433,0.2806195681483218,2,3e-05
0.26488999999999996,0.08201532465834172,-2.4448221225270572e-12,0.2806286317037947,0.2806286317013499,0.08204532465834172,0.2799405873324559,0.2806346811766732,1,0.08198532465834171,0.28141077624256494,0.280622584526105,2,3e-05
0.264895,0.08202782322037967,-7.0201067181585586e-12,0.28063164858597506,0.28063164857895495,0.08205782322037967,0.27994471129737686,0.2806376987697999,1,0.08199782322037967,0.2814121481768665,0.28062560068811404,2,3e-05
0.26489999999999997,0.08204031957294794,7.893685705084863e-12,0.2806346652329258,0.2806346652408195,0.08207031957294794,0.2799488313774048,0.280640716146959,1,0.08201031957294794,0.28141352779331225,0.28062861663461014,2,3e-05
0.264905,0.08205281371492892,-1.0870027100651214e-11,0.28063768169739967,0.28063768168652964,0.08208281371492893,0.27995294763684264,0.2806437333077358,1,0.08202281371492892,0.28141491509179584,0.28063163236517935,2,3e-05
0.26491,0.08206530564967544,-7.248590616626416e-12,0.2806406979238218,0.2806406979165732,0.08209530564967545,0.2799570600430901,0.2806467502526188,1,0.08203530564967544,0.28141630994790584,0.28063464788030923,2,3e-05
0.26491499999999996,0.08207779537718743,-7.023992498744747e-12,0.28064371393778487,0.2806437139307609,0.08210779537718743,0.2799611686360059,0.28064976698141875,1,0.08204779537718743,0.28141771233150625,0.2806376631798123,2,3e-05
