k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,param_pert,higher_rank_margin,passed
111,0.2,0.21000000000000002,0.05,0.060000000000000005,0.09713408547991176,24.242765931304117,1.1600000000000006,25.402765931304117,1.3518435479623006,1.3020342029989593,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.2,0.21000000000000002,0.060000000000000005,0.07,0.09615995812703479,24.570897419508334,1.1600000000000006,25.730897419508334,1.3531688452022534,1.3033027649318891,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.2,0.21000000000000002,0.07,0.08000000000000002,0.09507213875620674,24.944147610211107,1.160000000000001,26.104147610211108,1.3542186252060195,1.3044015496140131,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.2,0.21000000000000002,0.08000000000000002,0.09000000000000001,0.09388306555465303,25.36052444252682,1.1600000000000004,26.52052444252682,1.355718123129228,1.3058675132748536,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.2,0.21000000000000002,0.09000000000000001,0.1,0.09260524638075412,25.81794143614093,1.1600000000000004,26.97794143614093,1.3573565181860223,1.3073973673783543,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.2,0.21000000000000002,0.1,0.11000000000000001,0.09125095914263998,26.314258492307935,1.160000000000001,27.474258492307936,1.3590063633092733,1.309053166050532,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.2,0.21000000000000002,0.11000000000000001,0.12000000000000001,0.08983201482598543,26.84731830183422,1.1600000000000004,28.00731830183422,1.3604745128106939,1.3106394268643702,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.21000000000000002,0.22000000000000003,0.05,0.060000000000000005,0.11063393862822304,25.311894437200888,1.1600000000000006,26.471894437200888,1.3753233488681729,1.3253763782319452,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.21000000000000002,0.22000000000000003,0.060000000000000005,0.07,0.10938640490294735,25.62633996496574,1.1600000000000006,26.78633996496574,1.3766393137156836,1.3266647988556723,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.21000000000000002,0.22000000000000003,0.07,0.08000000000000002,0.10800241023605789,25.984433801797604,1.160000000000001,27.144433801797604,1.378458757696912,1.3285609014436077,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.21000000000000002,0.22000000000000003,0.08000000000000002,0.09000000000000001,0.10650000304317053,26.384398799290473,1.1600000000000004,27.544398799290473,1.3801069708200553,1.3302076976329344,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.21000000000000002,0.22000000000000003,0.09000000000000001,0.1,0.10489685306869023,26.824362061379993,1.1600000000000004,27.984362061379993,1.3816131255425705,1.3316410504329628,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.21000000000000002,0.22000000000000003,0.1,0.11000000000000001,0.1032098314356927,27.302390005272425,1.160000000000001,28.462390005272425,1.3835971947630894,1.3336631772099798,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.21000000000000002,0.22000000000000003,0.11000000000000001,0.12000000000000001,0.10145471669305062,27.816520271234502,1.1600000000000004,28.976520271234502,1.385536626591808,1.3355771088827828,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.22000000000000003,0.23000000000000004,0.05,0.060000000000000005,0.12624235382440768,26.384398799290494,1.1600000000000006,27.544398799290494,1.3960594317350044,1.3461601585478835,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.22000000000000003,0.23000000000000004,0.060000000000000005,0.07,0.12459548129083964,26.68620992198032,1.1600000000000006,27.84620992198032,1.3977611029085197,1.3478575008978024,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.22000000000000003,0.23000000000000004,0.07,0.08000000000000002,0.12278655453590176,27.03026636938675,1.160000000000001,28.19026636938675,1.399862348651279,1.3498796068615861,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.22000000000000003,0.23000000000000004,0.08000000000000002,0.09000000000000001,0.12084278932942874,27.414977658207224,1.1600000000000004,28.574977658207224,1.4017733568743012,1.351817102227086,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.22000000000000003,0.23000000000000004,0.09000000000000001,0.1,0.11878977725412265,27.838658372845487,1.1600000000000004,28.998658372845487,1.4042412774005715,1.3542435905508377,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.22000000000000003,0.23000000000000004,0.1,0.11000000000000001,0.11665097436339109,28.299558300439948,1.160000000000001,29.459558300439948,1.4062141607225978,1.3562827059760898,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.22000000000000003,0.23000000000000004,0.11000000000000001,0.12000000000000001,0.1144474395209539,28.795890331781735,1.1600000000000004,29.955890331781735,1.4086181560720188,1.358691672185716,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.23000000000000004,0.24000000000000005,0.05,0.060000000000000005,0.14479765180136278,27.459883466613636,1.1600000000000006,28.619883466613636,1.4134052165666398,1.3635447924087765,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.23000000000000004,0.24000000000000005,0.060000000000000005,0.07,0.14251325241411078,27.750000000000043,1.1600000000000006,28.910000000000043,1.415728031249962,1.3658832036637543,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.23000000000000004,0.24000000000000005,0.07,0.08000000000000002,0.14004541652950941,28.081025622295197,1.160000000000001,29.241025622295197,1.4181965552387292,1.3682971941085333,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.23000000000000004,0.24000000000000005,0.08000000000000002,0.09000000000000001,0.13743683014094057,28.45153247190741,1.1600000000000004,29.61153247190741,1.4208402406707459,1.3709891759032244,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.23000000000000004,0.24000000000000005,0.09000000000000001,0.1,0.13472503210003042,28.860000000000024,1.1600000000000004,30.020000000000024,1.4235938826297228,1.3737267729951717,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.23000000000000004,0.24000000000000005,0.1,0.11000000000000001,0.1319422303813173,29.30484089702589,1.160000000000001,30.46484089702589,1.426776591428526,1.3768342293022542,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.23000000000000004,0.24000000000000005,0.11000000000000001,0.12000000000000001,0.1291155359321745,29.784425460297207,1.1600000000000004,30.944425460297207,1.4295336169861168,1.3796232533404764,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.24000000000000005,0.25000000000000006,0.05,0.060000000000000005,0.16801282872841605,28.53801149344505,1.1600000000000006,29.69801149344505,1.42597041045649,1.3759737581106237,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.24000000000000005,0.25000000000000006,0.060000000000000005,0.07,0.16454003798465083,28.817276068358755,1.1600000000000006,29.977276068358755,1.4295427545157462,1.3795806277351488,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.24000000000000005,0.25000000000000006,0.07,0.08000000000000002,0.1609100266036863,29.136178541462865,1.160000000000001,30.296178541462865,1.4328386450520172,1.3828449510892076,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.24000000000000005,0.25000000000000006,0.08000000000000002,0.09000000000000001,0.15718805373663997,29.493433167401882,1.1600000000000004,30.653433167401882,1.436942431369762,1.3870182731166654,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.24000000000000005,0.25000000000000006,0.09000000000000001,0.1,0.15342431381380983,29.8876646795965,1.1600000000000004,31.0476646795965,1.4405726779084125,1.3906568182949135,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.24000000000000005,0.25000000000000006,0.1,0.11000000000000001,0.14965670708681655,30.317430629919865,1.160000000000001,31.477430629919866,1.4441484982686836,1.3941843226656359,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.24000000000000005,0.25000000000000006,0.11000000000000001,0.12000000000000001,0.14591344372574266,30.781242664973792,1.1600000000000004,31.941242664973792,1.4480502482414568,1.398142056577435,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.25000000000000006,0.26000000000000006,0.05,0.060000000000000005,0.20083880462894677,29.618494222360503,1.1600000000000006,30.778494222360504,1.4292138337018758,1.3792487456785625,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.25000000000000006,0.26000000000000006,0.060000000000000005,0.07,0.19421355425276243,29.887664679596515,1.1600000000000006,31.047664679596515,1.4356901913255218,1.3857743317120228,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.25000000000000006,0.26000000000000006,0.07,0.08000000000000002,0.1879209255028373,30.195264529392702,1.160000000000001,31.355264529392702,1.4414500632490783,1.3915212980748863,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.25000000000000006,0.26000000000000006,0.08000000000000002,0.09000000000000001,0.18193271735049898,30.54013261267869,1.1600000000000004,31.70013261267869,1.447009211939762,1.397166236133663,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
