Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_abs_Fk_on_boundary,y_at_min_abs_Fk,min_Re_Fk_on_boundary,y_at_min_Re_Fk,min_Re_Sigma_minus,y_at_min_Re_Sigma_minus,min_Re_Sigma_plus,y_at_min_Re_Sigma_plus,min_Re_R_minus_1,min_Re_R_plus_1
0.25,0.14,11,0.15580671780813335,0.8211535958882524,2.295,-0.09796998617935194,6.0,0.17659934873222244,6.0,0.14750949576173628,6.0,0.46537042582856547,0.4432439042785667
0.25,0.14,12,0.15580671780813335,0.8896868620922314,2.52,-0.08246679683918631,6.0,0.21148875824006982,6.0,0.17680252503479474,6.0,0.4911210965771452,0.4642887506596796
0.25,0.15000000000000002,3,0.15122758023781604,0.2565649205903967,0.5549999999999999,-0.14748117216270654,6.0,0.008200804145940254,6.0,0.006737205406095307,6.0,0.3584929887038516,0.3555137091484506
0.25,0.15000000000000002,4,0.15122758023781604,0.32211178341072083,0.765,-0.14483698447033408,6.0,0.019178283184962164,6.0,0.015759054638076957,6.0,0.36512266987179104,0.3610037385833847
0.25,0.15000000000000002,5,0.15122758023781604,0.39238414575890734,0.975,-0.14135916411512678,6.0,0.03296872565633721,6.0,0.02709863221143819,6.0,0.3735794300280047,0.36798886645678697
0.25,0.15000000000000002,6,0.15122758023781604,0.4659481498484499,1.185,-0.13692098040404593,6.0,0.049616697252355735,6.0,0.040796953565605705,6.0,0.38397878693006077,0.3765529124222523
0.25,0.15000000000000002,7,0.15122758023781604,0.540784300557827,1.395,-0.1313579597780575,6.0,0.06917450297915322,6.0,0.05690272610479636,6.0,0.39646164241968035,0.3867985145862127
0.25,0.15000000000000002,8,0.15122758023781604,0.6153656205811092,1.6199999999999999,-0.12446017555580587,6.0,0.09170153505854846,6.0,0.07547205072506637,6.0,0.4111953486960391,0.3988481964627846
0.25,0.15000000000000002,9,0.15122758023781604,0.6887740441560615,1.845,-0.11596242333688778,6.0,0.11726350437456415,6.0,0.09656805800098316,6.0,0.42837478906599624,0.41284555840731973
0.25,0.15000000000000002,10,0.15122758023781604,0.7605853824084811,2.07,-0.10553186363727318,6.0,0.14593155407487282,6.0,0.12026047272780263,6.0,0.4482233822499858,0.4289565594753586
0.25,0.15000000000000002,11,0.15122758023781604,0.8307770471324786,2.295,-0.09275263860218728,6.0,0.17778125523771657,6.0,0.14662510028481887,6.0,0.4709938964429739,0.4473708439099857
0.25,0.15000000000000002,12,0.15122758023781604,0.8994908934009763,2.52,-0.07710690281942385,6.0,0.21289148633855612,6.0,0.1757432283481608,6.0,0.496968933999159,0.46830305194877414
0.25,0.16,3,0.14683284789843098,0.26508878199175734,0.5549999999999999,-0.143039289451269,6.0,0.008257903414482126,6.0,0.006696854471072122,6.0,0.3629686772552726,0.3598823409818391
0.25,0.16,4,0.14683284789843098,0.33058613026796396,0.765,-0.14036278323255502,6.0,0.019311467948499427,6.0,0.015664644888300657,6.0,0.3696539283017518,0.3653504628450458
