Omega_over_gamma,Delta_over_gamma,low_rank_winner,low_rank_min,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.25125,0.07,1,0.19890728141173178,3,0.30208762828989844,0.10318034687816666,1
0.25125,0.0704,1,0.19862141088262275,3,0.30212674585608557,0.10350533497346281,1
0.25125,0.0708,1,0.19833641918478181,3,0.3021660857340342,0.10382966654925238,1
0.25125,0.0712,1,0.19805229765761803,3,0.30220564790966953,0.1041533502520515,1
0.25125,0.07160000000000001,1,0.19776903782977467,3,0.3022454323687193,0.10447639453894464,1
0.25125,0.07200000000000001,1,0.1974866314130804,3,0.3022854390967026,0.10479880768362218,1
0.25125,0.0724,1,0.19720507029675005,3,0.3023256680789437,0.10512059778219363,1
0.25125,0.0728,1,0.19692434654181654,3,0.30236611930055024,0.1054417727587337,1
0.25125,0.0732,1,0.19664445237577788,3,0.30240679274643,0.10576234037065213,1
0.25125,0.0736,1,0.19636538018746508,3,0.302447688401275,0.10608230821380993,1
0.25125,0.07400000000000001,1,0.1960871225220988,3,0.30248880624956637,0.10640168372746756,1
0.25125,0.07440000000000001,1,0.19580967207654812,3,0.302530146275568,0.1067204741990199,1
0.25125,0.0748,1,0.19553302169476677,3,0.3025717084633294,0.10703868676856265,1
0.25125,0.0752,1,0.19525716436339963,3,0.30261349279667804,0.10735632843327841,1
0.25125,0.0756,1,0.19498209320756435,3,0.3026554992592214,0.10767340605165707,1
0.25125,0.076,1,0.19470780148678546,3,0.30269772783434296,0.1079899263475575,1
0.25125,0.0764,1,0.19443428259107978,3,0.30274017850519797,0.10830589591411818,1
0.25125,0.07680000000000001,1,0.19416153003718956,3,0.3027828512547152,0.10862132121752566,1
0.25125,0.0772,1,0.19388953746495385,3,0.30282574606559337,0.10893620860063952,1
0.25125,0.0776,1,0.19361829863380703,3,0.3028688629202922,0.10925056428648516,1
0.25125,0.078,1,0.19334780741941168,3,0.302912201801047,0.10956439438163532,1
0.25125,0.0784,1,0.1930780578104059,3,0.3029557626898443,0.1098777048794384,1
0.25125,0.0788,1,0.1928090439052712,3,0.30299954556843406,0.11019050166316285,1
0.25125,0.07919999999999999,1,0.19254075990930652,3,0.3030435504183301,0.11050279050902356,1
0.25125,0.0796,1,0.192273200131714,3,0.3030877772207929,0.11081457708907888,1
0.25125,0.08,1,0.19200635898278193,3,0.3031322259568374,0.11112586697405549,1
0.25125,0.0804,1,0.19174023097116666,3,0.3031768966072333,0.11143666563606663,1
0.25125,0.0808,1,0.19147481070126765,3,0.30322178915249326,0.11174697845122561,1
0.25125,0.0812,1,0.19121009287069496,3,0.30326690357287983,0.11205681070218487,1
0.25125,0.08159999999999999,1,0.19094607226781746,3,0.3033122398483952,0.11236616758057777,1
0.25125,0.08199999999999999,1,0.19068274376939987,3,0.30335779795878465,0.11267505418938478,1
0.25125,0.0824,1,0.19042010233830936,3,0.3034035778835288,0.11298347554521943,1
0.25125,0.0828,1,0.19015814302131084,3,0.3034495796018484,0.11329143658053753,1
0.25125,0.0832,1,0.18989686094692437,3,0.30349580309269414,0.11359894214576977,1
0.25125,0.0836,1,0.1896362513233566,3,0.3035422483347458,0.1139059970113892,1
0.25125,0.08399999999999999,1,0.1893763094365011,3,0.3035889153064156,0.11421260586991447,1
0.25125,0.08439999999999999,1,0.18911703064800195,3,0.303635803985839,0.11451877333783705,1
0.25125,0.08479999999999999,1,0.1888584103933772,3,0.30368291435087613,0.11482450395749894,1
0.25125,0.0852,1,0.18860044418020533,3,0.3037302463791056,0.11512980219890029,1
0.25125,0.0856,1,0.18834312758636879,3,0.30377780004782373,0.11543467246145495,1
0.25125,0.086,1,0.1880864562583494,3,0.3038255753340458,0.1157391190756964,1
0.25187499999999996,0.07,1,0.2013841142142611,3,0.30229518864533983,0.10091107443107872,1
0.25187499999999996,0.0704,1,0.20108183925335607,3,0.3023341360672426,0.1012522968138865,1
0.25187499999999996,0.0708,1,0.2007806799031853,3,0.3023733048064277,0.10159262490324242,1
0.25187499999999996,0.0712,1,0.20048062208594652,3,0.3024126948484585,0.10193207276251198,1
0.25187499999999996,0.07160000000000001,1,0.2001816520842778,3,0.30245230617870467,0.10227065409442687,1
0.25187499999999996,0.07200000000000001,1,0.199883756528283,3,0.30249213878232695,0.10260838225404395,1
0.25187499999999996,0.0724,1,0.19958692238315118,3,0.30253219264428605,0.10294527026113487,1
0.25187499999999996,0.0728,1,0.19929113693732525,3,0.3025724677493362,0.10328133081201096,1
0.25187499999999996,0.0732,1,0.19899638779119155,3,0.3026129640820189,0.10361657629082732,1
0.25187499999999996,0.0736,1,0.1987026628462759,3,0.30265368162667067,0.10395101878039475,1
0.25187499999999996,0.07400000000000001,1,0.19840995029489467,3,0.30269462036741135,0.10428467007251668,1
0.25187499999999996,0.07440000000000001,1,0.19811823861026417,3,0.3027357802881475,0.10461754167788334,1
0.25187499999999996,0.0748,1,0.1978275165370283,3,0.30277716137256977,0.10494964483554148,1
0.25187499999999996,0.0752,1,0.1975377730821859,3,0.3028187636041459,0.10528099052196,1
0.25187499999999996,0.0756,1,0.19724899750640063,3,0.3028605869661266,0.10561158945972599,1
0.25187499999999996,0.076,1,0.19696117931566828,3,0.3029026314415348,0.1059414521258665,1
0.25187499999999996,0.0764,1,0.19667430825334142,3,0.30294489701317034,0.10627058875982892,1
0.25187499999999996,0.07680000000000001,1,0.19638837429246103,3,0.30298738366360334,0.1065990093711423,1
0.25187499999999996,0.0772,1,0.19610336762841485,3,0.30303009137517556,0.10692672374676071,1
0.25187499999999996,0.0776,1,0.1958192786718831,3,0.3030730201299946,0.1072537414581115,1
0.25187499999999996,0.078,1,0.19553609804206962,3,0.3031161699099313,0.10758007186786167,1
0.25187499999999996,0.0784,1,0.1952538165602,3,0.3031595406966238,0.10790572413642383,1
0.25187499999999996,0.0788,1,0.194972425243273,3,0.30320313247146896,0.10823070722819597,1
0.25187499999999996,0.07919999999999999,1,0.19469191529805913,3,0.3032469452156195,0.10855502991756039,1
0.25187499999999996,0.0796,1,0.19441227811533085,3,0.3032909789099847,0.10887870079465384,1
0.25187499999999996,0.08,1,0.19413350526430706,3,0.3033352335352315,0.10920172827092445,1
0.25187499999999996,0.0804,1,0.19385558848731949,3,0.30337970907177336,0.10952412058445388,1
0.25187499999999996,0.0808,1,0.19357851969467516,3,0.30342440549977473,0.10984588580509957,1
0.25187499999999996,0.0812,1,0.19330229095970872,3,0.303469322799145,0.1101670318394363,1
0.25187499999999996,0.08159999999999999,1,0.1930268945140245,3,0.3035144609495384,0.11048756643551388,1
0.25187499999999996,0.08199999999999999,1,0.19275232274290954,3,0.3035598199303507,0.11080749718744115,1
0.25187499999999996,0.0824,1,0.19247856818091658,3,0.3036053997207185,0.1111268315398019,1
0.25187499999999996,0.0828,1,0.19220562350760972,3,0.30365120029951176,0.11144557679190203,1
0.25187499999999996,0.0832,1,0.19193348154345774,3,0.30369722164533486,0.11176374010187712,1
0.25187499999999996,0.0836,1,0.19166213524587883,3,0.30374346373653016,0.11208132849065133,1
0.25187499999999996,0.08399999999999999,1,0.19139157770542814,3,0.30378992655116344,0.1123983488457353,1
0.25187499999999996,0.08439999999999999,1,0.19112180214211133,3,0.30383661006702634,0.112714807924915,1
0.25187499999999996,0.08479999999999999,1,0.19085280190183868,3,0.3038835142616404,0.11303071235980172,1
0.25187499999999996,0.0852,1,0.19058457045299104,3,0.3039306391122424,0.11334606865925134,1
