Omega_lo,Omega_hi,Delta_lo,Delta_hi,Omega_center,Delta_center,alpha_upper_lowrank,Ymax,sigma_center_min,y_at_min,pert_bound,k3_exclusion_margin,passed,depth
0.2700000000000001,0.2800000000000001,0.07,0.08,0.2750000000000001,0.07500000000000001,0.26851733357929564,7.167593738487136,0.035531652696720845,0.6211914573355521,0.0329864973910363,0.0025451553056845475,True,0
0.2700000000000001,0.2750000000000001,0.08,0.08499999999999999,0.2725000000000001,0.08249999999999999,0.27798566693257165,7.163783916339185,0.027343551240771095,0.614891452819113,0.017984909965141106,0.009358641275629988,True,1
0.2700000000000001,0.2750000000000001,0.08499999999999999,0.09,0.2725000000000001,0.0875,0.28174208059428185,7.165493702460425,0.024608714665849383,-0.6150382094611864,0.01798562237602519,0.006623092289824193,True,1
0.2750000000000001,0.2800000000000001,0.08,0.08499999999999999,0.2775000000000001,0.08249999999999999,0.27602190873564997,7.169204976843667,0.03056998908108262,-0.6332797729545234,0.017987168740351535,0.012582820340731084,True,1
0.2750000000000001,0.2800000000000001,0.08499999999999999,0.09,0.2775000000000001,0.0875,0.2808216853157659,7.170913470402499,0.0269171385607562,0.6334306898855537,0.01798788061266776,0.008929257948088437,True,1
0.2800000000000001,0.2900000000000001,0.08,0.09,0.2850000000000001,0.08499999999999999,0.27297703708720655,7.182033138325108,0.0355949936584435,0.6523680100645315,0.03299251380763544,0.0026024798508080607,True,0
0.2800000000000001,0.2850000000000001,0.09,0.095,0.2825000000000001,0.0925,0.28362545832859226,7.178230979844547,0.026426760925718672,-0.64604078818601,0.01799092957493531,0.008435831350783362,True,1
0.2800000000000001,0.2850000000000001,0.095,0.1,0.2825000000000001,0.0975,0.284792079417492,7.180132310758626,0.025869908070269437,0.6462119079682767,0.017991721796149274,0.007878186274120163,True,1
0.2850000000000001,0.2900000000000001,0.09,0.095,0.2875000000000001,0.0925,0.2812075871335372,7.183836022627466,0.0299972105347296,0.6585183020741852,0.017993265009428216,0.012003945525301384,True,1
0.2850000000000001,0.2900000000000001,0.095,0.1,0.2875000000000001,0.0975,0.285302985213582,7.185735870458919,0.026961450640082842,-0.6586924547920674,0.017994056612691156,0.008967394027391686,True,1
0.2800000000000001,0.2850000000000001,0.1,0.10500000000000001,0.2825000000000001,0.10250000000000001,0.2858638502555518,7.182130603101005,0.025416639148720072,0.6463917542790902,0.01799255441795855,0.007424084730761522,True,1
0.2800000000000001,0.2850000000000001,0.10500000000000001,0.11,0.2825000000000001,0.10750000000000001,0.2869921147761586,7.184225775962223,0.024939792314608238,-0.6465803198366,0.017993427406650976,0.0069463649079572615,True,1
0.2850000000000001,0.2900000000000001,0.1,0.10500000000000001,0.2875000000000001,0.10250000000000001,0.2863357158081454,7.187732604931822,0.026532962052872786,0.6588754887854176,0.017994888585388114,0.008538073467484673,True,1
0.2850000000000001,0.2900000000000001,0.10500000000000001,0.11,0.2875000000000001,0.10750000000000001,0.28742256629913043,7.189826145325074,0.02608249437920824,-0.6590673966547982,0.017995760893885528,0.008086733485322711,True,1
0.2900000000000001,0.3000000000000001,0.09,0.1,0.2950000000000001,0.095,0.27750598991927466,7.197221686178633,0.03571674455269254,0.677738375448488,0.03299884236924133,0.002717902183451207,True,0
0.2900000000000001,0.2950000000000001,0.1,0.10500000000000001,0.2925000000000001,0.10250000000000001,0.28684198829097785,7.193427555762274,0.027683337389337523,-0.671386571871146,0.01799726148156766,0.009686075907769862,True,1
0.2900000000000001,0.2950000000000001,0.10500000000000001,0.11,0.2925000000000001,0.10750000000000001,0.2878901002345214,7.1955194392065955,0.027257187463883153,0.6715818143259487,0.017998133099669335,0.009259054364213818,True,1
0.2950000000000001,0.3000000000000001,0.1,0.10500000000000001,0.2975000000000001,0.10250000000000001,0.2862158898174506,7.199215235009994,0.029824861511931068,0.6899247933551242,0.017999673014587603,0.011825188497343465,True,1
0.2950000000000001,0.3000000000000001,0.10500000000000001,0.11,0.2975000000000001,0.10750000000000001,0.288392506395162,7.201305437210673,0.028418857587629857,0.6901251043993568,0.018000543932170966,0.01041831365545889,True,1
0.2900000000000001,0.2950000000000001,0.11,0.11499999999999999,0.2925000000000001,0.11249999999999999,0.28899016336989886,7.19770796851331,0.026810741110823298,0.6717860770612427,0.01799904498688041,0.008811696123942888,True,1
0.2900000000000001,0.2950000000000001,0.11499999999999999,0.12,0.2925000000000001,0.1175,0.29014216293658024,7.1999930555522065,0.026344320985851055,-0.6719993518515395,0.017999997106480037,0.008344323879371018,True,1
0.2950000000000001,0.3000000000000001,0.11,0.11499999999999999,0.2975000000000001,0.11249999999999999,0.2894542204851665,7.20349220864436,0.027973191094364046,0.6903346699950843,0.01800145508693505,0.009971736007428997,True,1
0.2950000000000001,0.3000000000000001,0.11499999999999999,0.12,0.2975000000000001,0.1175,0.2905658042380197,7.205775461392063,0.02750676515284062,-0.6905534817167398,0.018002406442246488,0.009504358710594133,True,1
0.3000000000000001,0.3100000000000001,0.1,0.11,0.3050000000000001,0.10500000000000001,0.2819582458305533,7.213154649666122,0.035935025154325326,-0.7092935405505019,0.03300548110402766,0.002929544050297668,True,0
0.3000000000000001,0.3050000000000001,0.11,0.11499999999999999,0.3025000000000001,0.11249999999999999,0.28995353357695003,7.209368904418749,0.029044230875958574,-0.702913468180828,0.01800390371017433,0.011040327165784243,True,1
0.3000000000000001,0.3050000000000001,0.11499999999999999,0.12,0.3025000000000001,0.1175,0.2910272337550382,7.21165029656874,0.028601343423048795,-0.7031359039154523,0.018004854290237016,0.01059648913281178,True,1
0.3050000000000001,0.3100000000000001,0.11,0.11499999999999999,0.3075000000000001,0.11249999999999999,0.29048609856411,7.2153378299286866,0.0301438772864561,-0.7155210014679279,0.018006390762470438,0.012137486523985663,True,1
0.3050000000000001,0.3100000000000001,0.11499999999999999,0.12,0.3075000000000001,0.1175,0.29152422565590635,7.217617335381532,0.0297228696262011,-0.7157470524253355,0.01800734055640907,0.011715529069792032,True,1
0.3100000000000001,0.3200000000000001,0.11,0.12,0.3150000000000001,0.11499999999999999,0.28621363405638195,7.229827107199729,0.03638043949898995,0.7350324225653067,0.03301242796133306,0.0033680115376568884,True,0
