Omega_over_gamma,Delta_over_gamma,winner_k,global_gap_over_gamma
0.15,0.05,1,0.04931724139011376
0.15194444444444444,0.05,1,0.050763001761417764
0.15388888888888888,0.05,1,0.05223784350259297
0.15583333333333332,0.05,1,0.053742401484239144
0.15777777777777777,0.05,1,0.05527734242409427
0.1597222222222222,0.05,1,0.05684336707509395
0.16166666666666665,0.05,1,0.0584412126142657
0.1636111111111111,0.05,1,0.0600716552554508
0.16555555555555554,0.05,1,0.06173551311203121
0.16749999999999998,0.05,1,0.06343364933954183
0.16944444444444445,0.05,1,0.06516697559237304
0.17138888888888887,0.05,1,0.06693645583382749
0.17333333333333334,0.05,1,0.0687431105447423
0.17527777777777778,0.05,1,0.07058802138290275
0.17722222222222223,0.05,1,0.07247233635376163
0.17916666666666667,0.05,1,0.07439727556284759
0.1811111111111111,0.05,1,0.07636413763199565
0.18305555555555555,0.05,1,0.0783743068756256
0.185,0.05,1,0.08042926135024986
0.18694444444444444,0.05,1,0.0825305819108865
0.18888888888888888,0.05,1,0.08467996243296873
0.19083333333333333,0.05,1,0.08687922138876752
0.19277777777777777,0.05,1,0.08913031500471659
0.1947222222222222,0.05,1,0.09143535227221165
0.19666666666666666,0.05,1,0.09379661214184802
0.1986111111111111,0.05,1,0.0962165633029007
0.20055555555555554,0.05,1,0.0986978870403518
0.20249999999999999,0.05,1,0.10124350377667446
0.20444444444444443,0.05,1,0.10385660405258491
0.20638888888888887,0.05,1,0.10654068489068812
0.20833333333333331,0.05,1,0.1092995927329388
0.21027777777777779,0.05,1,0.11213757446763231
0.2122222222222222,0.05,1,0.11505933849316649
0.21416666666666667,0.05,1,0.1180701283457079
0.2161111111111111,0.05,1,0.1211758122067716
0.21805555555555556,0.05,1,0.12438299269431233
0.21999999999999997,0.05,1,0.12769914286227566
0.22194444444444444,0.05,1,0.13113277649597083
0.2238888888888889,0.05,1,0.13469366391857596
0.22583333333333333,0.05,1,0.1383931091376398
0.22777777777777777,0.05,1,0.14224431111388164
0.22972222222222222,0.05,1,0.1462628426717939
0.23166666666666666,0.05,1,0.15046729761102776
0.2336111111111111,0.05,1,0.15488018447263352
0.23555555555555555,0.05,1,0.15952919274160837
0.2375,0.05,1,0.16444904096490745
0.23944444444444443,0.05,1,0.1696842716882977
0.24138888888888888,0.05,1,0.17529366409130517
0.24333333333333332,0.05,1,0.1813575820574007
0.24527777777777776,0.05,1,0.18799107060142645
0.24722222222222223,0.05,1,0.19536939366581946
0.24916666666666665,0.05,1,0.20378449534906365
0.2511111111111111,0.05,1,0.2137960645456284
0.25305555555555553,0.05,1,0.22679923294842913
0.255,0.05,1,0.25133151717387514
0.2569444444444444,0.05,1,0.2607293186565196
0.2588888888888889,0.05,1,0.26051250520924407
0.2608333333333333,0.05,1,0.2603042693655751
0.2627777777777778,0.05,1,0.260104032033019
0.2647222222222222,0.05,1,0.2599112716822672
0.26666666666666666,0.05,1,0.2597255168160129
0.26861111111111113,0.05,1,0.2595463396463856
0.27055555555555555,0.05,1,0.2593733507534117
0.27249999999999996,0.05,1,0.25920619454572463
0.27444444444444444,0.05,1,0.2590445453818779
0.2763888888888889,0.05,1,0.2588881042391531
