Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,low_rank_min,low_rank_winner,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.25125,0.07,0.19890728141173178,0.27689635872902424,0.19890728141173178,1,3,0.30208762828989844,0.10318034687816666,1
0.25125,0.07026666666666667,0.1987166029778195,0.27694746366547807,0.1987166029778195,1,3,0.30211368196536087,0.10339707898754136,1
0.25125,0.07053333333333334,0.1985263164337358,0.2769987721857967,0.1985263164337358,1,3,0.3021398344481196,0.10361351801438379,1
0.25125,0.0708,0.19833641918478181,0.27705028438787227,0.19833641918478181,1,3,0.3021660857340342,0.10382966654925238,1
0.25125,0.07106666666666667,0.19814690867445847,0.277102000369791,0.19814690867445847,1,3,0.30219243581892574,0.10404552714446727,1
0.25125,0.07133333333333333,0.19795778238364065,0.2771539202298401,0.19795778238364065,1,3,0.3022188846985738,0.10426110231493313,1
0.25125,0.07160000000000001,0.19776903782977467,0.27720604406649485,0.19776903782977467,1,3,0.3022454323687193,0.10447639453894464,1
0.25125,0.07186666666666668,0.19758067256610434,0.277258371978419,0.19758067256610434,1,3,0.302272078825061,0.10469140625895668,1
0.25125,0.07213333333333334,0.19739268418090491,0.27731090406446807,0.19739268418090491,1,3,0.30229882406326364,0.10490613988235872,1
0.25125,0.0724,0.19720507029675005,0.2773636404236772,0.19720507029675005,1,3,0.3023256680789437,0.10512059778219363,1
0.25125,0.07266666666666667,0.19701782856979144,0.2774165811552633,0.19701782856979144,1,3,0.3023526108676798,0.10533478229788834,1
0.25125,0.07293333333333334,0.19683095668905773,0.2774697263586214,0.19683095668905773,1,3,0.3023796524250101,0.10554869573595235,1
0.25125,0.0732,0.19664445237577788,0.27752307613332367,0.19664445237577788,1,3,0.30240679274643,0.10576234037065213,1
0.25125,0.07346666666666667,0.19645831338271416,0.27757663057911125,0.19645831338271416,1,3,0.3024340318273966,0.10597571844468243,1
0.25125,0.07373333333333333,0.19627253749351703,0.2776303897958947,0.19627253749351703,1,3,0.3024613696633191,0.10618883216980207,1
0.25125,0.07400000000000001,0.1960871225220988,0.2776843538837529,0.1960871225220988,1,3,0.30248880624956637,0.10640168372746756,1
0.25125,0.07426666666666668,0.1959020663120164,0.27773852294292606,0.1959020663120164,1,3,0.30251634158146884,0.10661427526945244,1
0.25125,0.07453333333333334,0.19571736673588042,0.2777928970738143,0.19571736673588042,1,3,0.3025439756543085,0.1068266089184281,1
0.25125,0.0748,0.19553302169476677,0.2778474763769749,0.19553302169476677,1,3,0.3025717084633294,0.10703868676856265,1
0.25125,0.07506666666666667,0.19534902911765556,0.2779022609531182,0.19534902911765556,1,3,0.3025995400037264,0.10725051088607085,1
0.25125,0.07533333333333334,0.19516538696087488,0.27795725090310597,0.19516538696087488,1,3,0.30262747027065356,0.10746208330977869,1
0.25125,0.0756,0.19498209320756435,0.27801244632794675,0.19498209320756435,1,3,0.3026554992592214,0.10767340605165707,1
0.25125,0.07586666666666667,0.19479914586714997,0.2780678473287912,0.19479914586714997,1,3,0.30268362696449463,0.10788448109734466,1
0.25125,0.07613333333333333,0.19461654297483066,0.27812345400693417,0.19461654297483066,1,3,0.3027118533814953,0.10809531040666465,1
0.25125,0.0764,0.19443428259107978,0.2781792664638057,0.19443428259107978,1,3,0.30274017850519797,0.10830589591411818,1
0.25125,0.07666666666666667,0.1942523628011591,0.2782352848009696,0.1942523628011591,1,3,0.3027686023305321,0.108516239529373,1
0.25125,0.07693333333333334,0.19407078171464248,0.2782915091201211,0.19407078171464248,1,3,0.30279712485238414,0.10872634313774165,1
0.25125,0.0772,0.19388953746495385,0.27834793952308334,0.19388953746495385,1,3,0.30282574606559337,0.10893620860063952,1
0.25125,0.07746666666666667,0.1937086282089135,0.2784045761118017,0.1937086282089135,1,3,0.30285446596494936,0.10914583775603587,1
0.25125,0.07773333333333333,0.19352805212629826,0.27846141898834353,0.19352805212629826,1,3,0.30288328454519997,0.10935523241890172,1
0.25125,0.078,0.19334780741941168,0.2785184682548922,0.19334780741941168,1,3,0.302912201801047,0.10956439438163532,1
