Omega_center,Delta_center,halfwidth,depth,winner_side,box_status,passed,sigma_minus_diff
0.265640625,0.08386562499999999,3.125e-06,4,2,crosses_boundary,False,
0.265640625,0.083871875,3.125e-06,4,1,crosses_boundary,False,
0.265646875,0.08386562499999999,3.125e-06,4,2,certified_box,True,0.021953095711229064
0.265646875,0.083871875,3.125e-06,4,2,certified_box,True,0.02195254480691519
0.265640625,0.08387812499999998,3.125e-06,4,1,crosses_boundary,False,
0.265640625,0.083884375,3.125e-06,4,1,certified_box,True,0.0221938223573361
0.265646875,0.08387812499999998,3.125e-06,4,2,crosses_boundary,False,
0.265646875,0.083884375,3.125e-06,4,1,crosses_boundary,False,
0.265640625,0.08389062499999998,3.125e-06,4,1,certified_box,True,0.022290663230225955
0.265640625,0.083896875,3.125e-06,4,1,certified_box,True,0.022386089156473065
0.265646875,0.08389062499999998,3.125e-06,4,1,crosses_boundary,False,
0.265646875,0.083896875,3.125e-06,4,1,certified_box,True,0.022150860985786745
0.265653125,0.08389062499999998,3.125e-06,4,2,crosses_boundary,False,
0.265653125,0.083896875,3.125e-06,4,2,crosses_boundary,False,
0.265659375,0.08389062499999998,3.125e-06,4,2,certified_box,True,0.021953526747130345
0.265659375,0.083896875,3.125e-06,4,2,certified_box,True,0.021952976160204567
0.26565,0.08395,5e-05,0,1,crosses_boundary,False,
0.265625,0.083925,2.5e-05,1,1,certified_box,True,0.022426815876435118
0.265625,0.083975,2.5e-05,1,1,certified_box,True,0.0231715543359452
0.265675,0.083925,2.5e-05,1,2,crosses_boundary,False,
0.265675,0.083975,2.5e-05,1,1,crosses_boundary,False,
0.26566249999999997,0.0839125,1.25e-05,2,2,crosses_boundary,False,
0.26566249999999997,0.0839375,1.25e-05,2,1,crosses_boundary,False,
0.2656875,0.0839125,1.25e-05,2,2,certified_box,True,0.02192417088627438
0.2656875,0.0839375,1.25e-05,2,2,certified_box,True,0.021921971992880686
0.26566249999999997,0.0839625,1.25e-05,2,1,crosses_boundary,False,
