Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.25,0.08,12,0.1879209255028374,0.3438998768542364,2.475,33.611819514497626,0.0
0.25,0.09,3,0.18193271735049915,0.10169640734302869,0.55,0.3036775376005808,0.525
0.25,0.09,4,0.18193271735049915,0.13085893485305541,0.75,0.6971997038513061,0.7000000000000001
0.25,0.09,5,0.18193271735049915,0.16141925862231468,0.9500000000000001,1.414065049490206,0.875
0.25,0.09,6,0.18193271735049915,0.19212183466005672,1.175,2.608795740358808,1.075
0.25,0.09,7,0.18193271735049915,0.22154239733964734,1.375,4.490588274935118,1.25
0.25,0.09,8,0.18193271735049915,0.24987588071901887,1.6,7.296675994300783,1.4500000000000002
0.25,0.09,9,0.18193271735049915,0.27681031079001,1.8250000000000002,11.32627305218192,1.6500000000000001
0.25,0.09,10,0.18193271735049915,0.30217218015351127,2.025,16.809777796744672,0.0
0.25,0.09,11,0.18193271735049915,0.3263523407194454,2.25,24.142845395241768,0.0
0.25,0.09,12,0.18193271735049915,0.3495259515171409,2.475,33.91397404599613,0.0
0.25,0.1,3,0.1762246295808364,0.10734943017010337,0.55,0.32403042885302447,0.5
0.25,0.1,4,0.1762246295808364,0.1363606790407211,0.75,0.7323126342959934,0.7000000000000001
0.25,0.1,5,0.1762246295808364,0.1668137717909516,0.9500000000000001,1.4690925529570507,0.875
0.25,0.1,6,0.1762246295808364,0.19747636288004874,1.175,2.6951565479898667,1.075
0.25,0.1,7,0.1762246295808364,0.22688499260632602,1.375,4.613648872755537,1.25
0.25,0.1,8,0.1762246295808364,0.2552387629585953,1.6,7.4741305504389315,1.4500000000000002
0.25,0.1,9,0.1762246295808364,0.2821962795852248,1.8250000000000002,11.539866819241722,0.0
0.25,0.1,10,0.1762246295808364,0.30755805373665784,2.025,16.983834112149975,0.0
0.25,0.1,11,0.1762246295808364,0.3317601557277362,2.25,24.369715479129248,0.0
0.25,0.1,12,0.1762246295808364,0.3549510568976795,2.475,34.20495764036242,0.0
0.25,0.11,3,0.17077551516457626,0.11285495702284075,0.55,0.3435321639112879,0.5
0.25,0.11,4,0.17077551516457626,0.14169262489011145,0.75,0.7673035584267192,0.7000000000000001
0.25,0.11,5,0.17077551516457626,0.17202801976193668,0.9500000000000001,1.5236663381904463,0.875
0.25,0.11,6,0.17077551516457626,0.20264548506952765,1.175,2.779111576140679,1.05
0.25,0.11,7,0.17077551516457626,0.2320419525797464,1.375,4.734874297971595,1.25
0.25,0.11,8,0.17077551516457626,0.2604163628928709,1.6,7.648562540499918,1.4500000000000002
