Omega_over_gamma,Delta_over_gamma,low_rank_winner,low_rank_min,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.2,0.05,1,0.09798250938446462,3,0.28442998590636354,0.1864474765218989,1
0.2,0.052333333333333336,1,0.09779639356605638,3,0.2846847735292099,0.18688837996315352,1
0.2,0.05466666666666667,1,0.09760295691262122,3,0.28495133116421706,0.18734837425159584,1
0.2,0.057,1,0.09740234009582235,3,0.2852296776887129,0.18782733759289053,1
0.2,0.059333333333333335,1,0.09719468690617461,3,0.2855198324977823,0.18832514559160768,1
0.2,0.06166666666666667,1,0.09698014395597152,3,0.28582181546007884,0.18884167150410733,1
0.2,0.064,1,0.09675886038493828,3,0.2861356468707244,0.18937678648578612,1
0.2,0.06633333333333333,1,0.09653098756964293,3,0.2864613474011404,0.18993035983149745,1
0.2,0.06866666666666667,1,0.0962966788376205,3,0.28679893804568396,0.19050225920806346,1
0.2,0.07100000000000001,1,0.09605608918710334,3,0.28714844006493406,0.19109235087783072,1
0.2,0.07333333333333333,1,0.0958093750131554,3,0.28750987492546115,0.19170049991230576,1
0.2,0.07566666666666666,1,0.09555669384094617,3,0.28788326423595917,0.192326570395013,1
0.2,0.078,1,0.09529820406681347,3,0.2882686296795173,0.1929704256127038,1
0.2,0.08033333333333334,1,0.09503406470768283,3,0.2886659929419258,0.19363192823424297,1
0.2,0.08266666666666667,1,0.09476443515934602,3,0.289075375635783,0.194310940476437,1
0.2,0.08499999999999999,1,0.09448947496401311,3,0.2894967992202727,0.1950073242562596,1
0.2,0.08733333333333333,1,0.09420934358748553,3,0.2899302849163964,0.19572094132891085,1
0.2,0.08966666666666667,1,0.09392420020623027,3,0.2903758536174973,0.19645165341126702,1
0.2,0.092,1,0.0936342035045615,3,0.29083352579486765,0.19719932229030615,1
0.2,0.09433333333333332,1,0.09333951148207614,3,0.2913033213982718,0.19796380991619567,1
0.2,0.09666666666666666,1,0.09304028127143413,3,0.29178525975118996,0.19874497847975583,1
0.2,0.099,1,0.09273666896650656,3,0.29227935944055955,0.19954269047405299,1
0.2,0.10133333333333333,1,0.0924288294608801,3,0.2927856382008957,0.2003568087400156,1
0.2,0.10366666666666666,1,0.09211691629663946,3,0.29330411279252255,0.2011871964958831,1
0.2,0.106,1,0.0918010815233237,3,0.29383479887380337,0.20203371735047967,1
