Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,low_rank_min,low_rank_winner,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.2,0.05,0.09798250938446462,0.2683954495224243,0.09798250938446462,1,3,0.28442998590636354,0.1864474765218989,1
0.2,0.051750000000000004,0.09784361427113779,0.2687884976090788,0.09784361427113779,1,3,0.28461997391027466,0.18677635963913686,1
0.2,0.053500000000000006,0.09770058162833171,0.26919666946383386,0.09770058162833171,1,3,0.2848165799279928,0.18711599829966108,1
0.2,0.05525,0.09755347028292816,0.26962014118344024,0.09755347028292816,1,3,0.2850198118378493,0.18746634155492115,1
0.2,0.057,0.09740234009582235,0.2700590970351261,0.09740234009582235,1,3,0.2852296776887129,0.18782733759289053,1
0.2,0.058750000000000004,0.09724725189112682,0.27051372969987175,0.09724725189112682,1,3,0.2854461856899296,0.18819893379880276,1
0.2,0.0605,0.09708826738572032,0.27098424052477454,0.09708826738572032,1,3,0.28566934420075457,0.18858107681503425,1
0.2,0.06225,0.09692544911927958,0.27147083978417097,0.09692544911927958,1,3,0.2858991617192614,0.1889737125999818,1
0.2,0.064,0.09675886038493828,0.2719737469490881,0.09675886038493828,1,3,0.2861356468707244,0.18937678648578612,1
0.2,0.06575,0.0965885651607026,0.27249319096442487,0.0965885651607026,1,3,0.2863788083954259,0.1897902432347233,1
0.2,0.0675,0.09641462804174714,0.27302941053309204,0.09641462804174714,1,3,0.28662865513591174,0.1902140270941646,1
0.2,0.06925,0.09623711417371208,0.27358265440611435,0.09623711417371208,1,3,0.28688519602362134,0.19064808184990925,1
0.2,0.07100000000000001,0.09605608918710334,0.2741531816774727,0.09605608918710334,1,3,0.28714844006493406,0.19109235087783072,1
0.2,0.07275000000000001,0.09587161913290712,0.2747412620821202,0.09587161913290712,1,3,0.2874183963265406,0.19154677719363347,1
0.2,0.0745,0.09568377041950196,0.2753471762952939,0.09568377041950196,1,3,0.2876950739201941,0.19201130350069215,1
0.2,0.07625,0.09549260975095963,0.2759712162307863,0.09549260975095963,1,3,0.2879784819867496,0.19248587223578995,1
0.2,0.078,0.09529820406681347,0.2766136853353995,0.09529820406681347,1,3,0.2882686296795173,0.1929704256127038,1
0.2,0.07975,0.09510062048335804,0.27727489887615137,0.09510062048335804,1,3,0.2885655261468777,0.19346490566351965,1
0.2,0.0815,0.09489992623654969,0.2779551842162251,0.09489992623654969,1,3,0.2888691805141571,0.19396925427760742,1
0.2,0.08324999999999999,0.09469618862655702,0.2786548810747703,0.09469618862655702,1,3,0.2891796018647224,0.1944834132381654,1
0.2,0.08499999999999999,0.09448947496401311,0.27937434176479536,0.09448947496401311,1,3,0.2894967992202727,0.1950073242562596,1
0.2,0.08675,0.09427985251800466,0.28011393140232327,0.09427985251800466,1,3,0.28982078152032587,0.1955409290023212,1
0.2,0.0885,0.09406738846583765,0.2808740280786775,0.09406738846583765,1,3,0.29015155760083666,0.19608416913499901,1
0.2,0.09025,0.09385214984460294,0.2816550229863872,0.09385214984460294,1,3,0.2904891361719511,0.19663698632734816,1
0.2,0.092,0.0936342035045615,0.2824573204874722,0.0936342035045615,1,3,0.29083352579486765,0.19719932229030615,1
0.2,0.09375,0.09341361606436402,0.2832813381109509,0.09341361606436402,1,3,0.2911847348577571,0.19777111879339307,1
0.2,0.0955,0.09319045386811803,0.28412750646419305,0.09319045386811803,1,3,0.2915427715507662,0.19835231768264816,1
0.2,0.09725,0.09296478294429894,0.2849962690401621,0.09296478294429894,1,3,0.2919076438400011,0.19894286089570218,1
0.2,0.099,0.09273666896650656,0.2858880818996924,0.09273666896650656,1,3,0.29227935944055955,0.19954269047405299,1
0.2,0.10075,0.09250617721606136,0.28680341320459957,0.09250617721606136,1,3,0.29265792578850003,0.20015174857243867,1
0.2,0.1025,0.09227337254642523,0.2877427425736761,0.09227337254642523,1,3,0.29304335001178244,0.2007699774653572,1
0.2,0.10425,0.09203831934943407,0.28870656022937125,0.09203831934943407,1,3,0.293435638900133,0.20139731955069895,1
0.2,0.106,0.0918010815233237,0.28969536589822453,0.0918010815233237,1,3,0.29383479887380337,0.20203371735047967,1
0.2,0.10775,0.09156172244252017,0.2907096674229121,0.09156172244252017,1,3,0.29424083595122197,0.2026791135087018,1
0.2,0.1095,0.09132030492917415,0.29174997903797084,0.09132030492917415,1,3,0.2946537557154938,0.20333345078631965,1
0.2,0.11124999999999999,0.09107689122640714,0.29281681925513353,0.09107689122640714,1,3,0.29507356327973855,0.2039966720533314,1
0.2,0.113,0.09083154297323795,0.2939107082975922,0.09083154297323795,1,3,0.295500263251259,0.20466872027802105,1
0.2,0.11474999999999999,0.09058432118115242,0.2950321650157074,0.09058432118115242,1,3,0.2959338596944854,0.20534953851333296,1
0.2,0.11649999999999999,0.09033528621228412,0.2961817032098289,0.09033528621228412,1,3,0.29637435609272295,0.20603906988043882,1
0.2,0.11825,0.09008449775916089,0.2973598272793305,0.09008449775916089,1,3,0.2968217553086491,0.20673725754948824,1
0.2,0.12,0.08983201482598543,0.2985670271111448,0.08983201482598543,1,3,0.2972760595435818,0.2074440447175964,1
0.20375000000000001,0.05,0.10291539426958288,0.26866928748571356,0.10291539426958288,1,3,0.28547604775385754,0.18256065348427467,1
0.20375000000000001,0.051750000000000004,0.10276298947804507,0.26904606296870137,0.10276298947804507,1,3,0.2856592502643554,0.18289626078631033,1
0.20375000000000001,0.053500000000000006,0.10260609521352743,0.2694371746730456,0.10260609521352743,1,3,0.285848822557645,0.18324272734411756,1
0.20375000000000001,0.05525,0.10244478007164293,0.26984277173038484,0.10244478007164293,1,3,0.2860447710467834,0.18359999097514046,1
0.20375000000000001,0.057,0.10227911376536195,0.27026300984105023,0.10227911376536195,1,3,0.28624710227396594,0.183967988508604,1
0.20375000000000001,0.058750000000000004,0.10210916703777664,0.2706980514332302,0.10210916703777664,1,3,0.2864558229014139,0.18434665586363727,1
0.20375000000000001,0.0605,0.10193501157558132,0.27114806582612294,0.10193501157558132,1,3,0.2866709397018004,0.18473592812621908,1
