Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,gap2_minus_gap1,winner_k
0.26475,0.0764,0.2790259903027417,0.2795216045986531,0.0004956142959113841,1
0.26475,0.076415,0.27904409451728884,0.27952441760768876,0.0004803230903999145,1
0.26475,0.07643,0.2790622146015493,0.2795272311887519,0.00046501658720260464,1
0.26475,0.076445,0.2790803505858712,0.2795300453418513,0.0004496947559800568,1
0.26475,0.07646,0.27909850250069973,0.2795328600669984,0.00043435756629867095,1
0.26475,0.076475,0.2791166703765865,0.2795356753642033,0.00041900498761682226,1
0.26475,0.07649,0.2791348542441782,0.27953849123347524,0.0004036369892970182,1
0.26475,0.07650499999999999,0.279153054134223,0.2795413076748246,0.0003882535406016241,1
0.26475,0.07651999999999999,0.2791712700775742,0.2795441246882607,0.0003728546106864794,1
0.26475,0.07653499999999999,0.27918950210518484,0.27954694227379495,0.0003574401686101125,1
0.26475,0.07654999999999999,0.2792077502481079,0.27954976043143664,0.0003420101833287448,1
0.26475,0.076565,0.27922601453750495,0.27955257916119564,0.00032656462369068384,1
0.26475,0.07658,0.2792442950046352,0.27955539846308264,0.00031110345844742593,1
0.26475,0.076595,0.2792625916808646,0.27955821833710676,0.000295626656242165,1
0.26475,0.07661,0.2792809045976636,0.2795610387832785,0.0002801341856148998,1
0.26475,0.076625,0.2792992337866079,0.27956385980160825,0.00026462601500032434,1
0.26475,0.07664,0.27931757927937606,0.27956668139210483,0.0002491021127287718,1
0.26475,0.076655,0.2793359411077548,0.2795695035547798,0.00023356244702499307,1
0.26475,0.07667,0.2793543193036351,0.2795723262896422,0.0002180069860071021,1
0.26475,0.07668499999999999,0.2793727138990175,0.2795751495967023,0.00020243569768479963,1
0.26475,0.07669999999999999,0.27939112492600804,0.27957797347597013,0.0001868485499620931,1
0.26475,0.07671499999999999,0.27940955241682014,0.2795807979274555,0.00017124551063535387,1
0.26475,0.07672999999999999,0.27942799640377625,0.27958362295116934,0.00015562654739309512,1
0.26475,0.076745,0.27944645691930736,0.27958644854712067,0.00013999162781330732,1
0.26475,0.07676,0.2794649339959543,0.27958927471532,0.0001243407193657342,1
0.26475,0.076775,0.2794834276663687,0.2795921014557771,0.00010867378940843109,1
0.26475,0.07679,0.2795019379633083,0.27959492876850156,9.299080519326042e-05,1
0.26475,0.076805,0.27952046491964777,0.27959775665350517,7.729173385739863e-05,1
0.26475,0.07682,0.27953900856836766,0.27960058511079605,6.157654242838762e-05,1
0.26475,0.076835,0.27955756894256567,0.27960341414038514,4.584519781947183e-05,1
0.26475,0.07685,0.2795761460754464,0.27960624374228227,3.0097666835871006e-05,1
0.26475,0.07686499999999999,0.27959474000033163,0.2796090739164971,1.4333916165454319e-05,1
0.26475,0.07687999999999999,0.27961335075065513,0.27961190466304026,-1.4460876148758572e-06,2
0.26475,0.07689499999999999,0.2796319783599643,0.27961473598192205,-1.724237804223705e-05,2
0.26475,0.07690999999999999,0.2796506228619223,0.2796175678731515,-3.3054988770819804e-05,2
0.26475,0.076925,0.2796692842903071,0.27962040033673957,-4.88839535675023e-05,2
0.26475,0.07694,0.2796879626790121,0.2796232333726956,-6.472930631645779e-05,2
0.26475,0.076955,0.27970665806204725,0.27962606698103076,-8.059108101649004e-05,2
0.26475,0.07697,0.27972537047353746,0.2796289011617523,-9.646931178514118e-05,2
0.26475,0.076985,0.279744099947729,0.27963173591487317,-0.0001123640328558051,2
0.26475,0.077,0.2797628465189824,0.2796345712404029,-0.00012827527857950383,2
0.26475,0.077015,0.27978161022177817,0.27963740713835095,-0.000144203083427219,2
0.26475,0.07703,0.2798003910907171,0.27964024360872725,-0.0001601474819898363,2
0.26475,0.077045,0.27981918916051635,0.2796430806515417,-0.00017610850897464836,2
0.26475,0.07705999999999999,0.2798380044660168,0.2796459182668044,-0.00019208619921240455,2
0.26475,0.07707499999999999,0.2798568370421787,0.27964875645452647,-0.00020808058765220405,2
0.26475,0.07708999999999999,0.27987568692408277,0.2796515952147168,-0.0002240917093659922,2
0.26475,0.07710499999999999,0.2798945541469316,0.2796544345473855,-0.00024011959954611806,2
