Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,y,sigma_min_Mk,abs_det_Mk,diff_norm_from_center
0.2647,0.0825,0.26904650571019795,0.5951,0.032455552866050855,0.09753817367985564,0.013963645908249393
0.2647,0.0825,0.26904650571019795,0.5955999999999999,0.032458560111452636,0.09765678583869587,0.013712944853136332
0.2647,0.0825,0.26904650571019795,0.5961,0.03246694619546014,0.09779172803968852,0.013476229900014106
0.2647,0.0825,0.26904650571019795,0.5966,0.03248071057483723,0.09794305331671438,0.01325432022933441
0.2647,0.0825,0.26904650571019795,0.5971,0.03249985002814068,0.09811080671936871,0.013048083897595705
0.2647,0.0825,0.26904650571019795,0.5975999999999999,0.03252435866673874,0.09829502530096067,0.012858494217667176
0.2647,0.0825,0.26904650571019795,0.5981,0.032554227952395015,0.09849573812646094,0.012696172392936555
0.2647,0.0825,0.26904650571019795,0.5986,0.03258944672131154,0.0987129663002412,0.012862138787885643
0.2647,0.0825,0.26904650571019795,0.5991,0.03263000121449,0.09894672301333114,0.01305237412660834
0.2647,0.0825,0.26904650571019795,0.5995999999999999,0.032675875114235683,0.09919701360980997,0.013259278141560322
0.2647,0.0825,0.26904650571019795,0.6001,0.032727049586594954,0.09946383567184569,0.013481859046391981
0.2647,0.0825,0.26904650571019795,0.6006,0.03278350332948564,0.09974717912279502,0.013719235897160214
0.2647,0.0825,0.26904650571019795,0.6011,0.03284521262625238,0.10004702634768402,0.01397058096843358
0.2647,0.0828,0.266959789220021,0.5951,0.03423113770683094,0.10325523683844869,0.015620135032710076
0.2647,0.0828,0.266959789220021,0.5955999999999999,0.03423418908342818,0.10338020326437095,0.015410107589166343
0.2647,0.0828,0.266959789220021,0.5961,0.034242341225679956,0.10352072544100985,0.015213831928190875
0.2647,0.0828,0.266959789220021,0.5966,0.034255593926742996,0.10367685468288237,0.015031951817912557
0.2647,0.0828,0.266959789220021,0.5971,0.03427394469449671,0.10384863548006276,0.014865169355587765
0.2647,0.0828,0.266959789220021,0.5975999999999999,0.03429738875968869,0.10403610548418851,0.014714370473339173
0.2647,0.0828,0.266959789220021,0.5981,0.03432591908912662,0.10423929550983899,0.014592121015908215
0.2647,0.0828,0.266959789220021,0.5986,0.03435952640384342,0.10445822955119206,0.01471643328729844
0.2647,0.0828,0.266959789220021,0.5991,0.03439819920214258,0.10469292481378528,0.014867593519178608
0.2647,0.0828,0.266959789220021,0.5995999999999999,0.03444192378739837,0.10494339176113096,0.015034785281377253
0.2647,0.0828,0.266959789220021,0.6001,0.034490684300472654,0.10520963417586013,0.015217105591095523
0.2647,0.0828,0.266959789220021,0.6006,0.03454446275657604,0.10549164923500297,0.015413838156476227
0.2647,0.0828,0.266959789220021,0.6011,0.03460323908639213,0.10578942759894203,0.015624328815553258
0.2647,0.08310000000000001,0.2651206378845282,0.5951,0.035799416658824176,0.10833979412228797,0.01717620617411456
0.2647,0.08310000000000001,0.2651206378845282,0.5955999999999999,0.035802498253836426,0.10847036457945661,0.016996263886267453
0.2647,0.08310000000000001,0.2651206378845282,0.5961,0.03581045783059756,0.10861587121467445,0.016829541359342146
0.2647,0.08310000000000001,0.2651206378845282,0.5966,0.035823295421952596,0.1087763638802692,0.01667655917454702
0.2647,0.08310000000000001,0.2651206378845282,0.5971,0.035841009060976446,0.10895188644831405,0.016537913102319522
0.2647,0.08310000000000001,0.2651206378845282,0.5975999999999999,0.03586359478725366,0.10914247679583136,0.016414497242011793
0.2647,0.08310000000000001,0.2651206378845282,0.5981,0.03589104665720023,0.10934816680234107,0.016320721080437018
0.2647,0.08310000000000001,0.2651206378845282,0.5986,0.03592335675837693,0.10956898235969664,0.0164158920940907
0.2647,0.08310000000000001,0.2651206378845282,0.5991,0.035960515227725136,0.10980494339408972,0.016539495852611073
0.2647,0.08310000000000001,0.2651206378845282,0.5995999999999999,0.03600251027363871,0.11005606390005274,0.016678368159986506
0.2647,0.08310000000000001,0.2651206378845282,0.6001,0.036049328201762626,0.11032235198622749,0.016831609118321985
0.2647,0.08310000000000001,0.2651206378845282,0.6006,0.03610095344440386,0.11060380993262173,0.01699861355387664
0.2647,0.08310000000000001,0.2651206378845282,0.6011,0.03615736859341003,0.11090043425902112,0.01717885295933413
0.2647,0.0834,0.263463050115351,0.5951,0.037215640358159496,0.1129598086959532,0.018645877452062087
0.2647,0.0834,0.263463050115351,0.5955999999999999,0.03721874245559076,0.11309543379507316,0.01848806979746621
0.2647,0.0834,0.263463050115351,0.5961,0.03722653739176819,0.11324548077164881,0.018342825329627888
0.2647,0.0834,0.263463050115351,0.5966,0.03723902537937122,0.11340999820800435,0.018210569911046144
0.2647,0.0834,0.263463050115351,0.5971,0.03725620484962505,0.1135890293526836,0.018091822016170094
0.2647,0.0834,0.263463050115351,0.5975999999999999,0.037278072457284206,0.11378261210542664,0.017987529671488343
0.2647,0.0834,0.263463050115351,0.5981,0.03730462308895072,0.11399077901235581,0.01791313222719607
0.2647,0.0834,0.263463050115351,0.5986,0.03733584987469191,0.11421355727133281,0.017988650716405562
0.2647,0.0834,0.263463050115351,0.5991,0.037371744202906565,0.11445096874740653,0.018093073595524284
0.2647,0.0834,0.263463050115351,0.5995999999999999,0.03741229573836703,0.11470302999822644,0.01821196170950972
0.2647,0.0834,0.263463050115351,0.6001,0.03745749244336455,0.11496975230925231,0.018344374826717354
0.2647,0.0834,0.263463050115351,0.6006,0.037507320601861134,0.11525114173855343,0.01848979187894493
0.2647,0.0834,0.263463050115351,0.6011,0.03756176484654336,0.1155471991709489,0.01864778349456423
0.2647,0.08370000000000001,0.26194571954031964,0.5951,0.03851439139205999,0.11722051416142219,0.020041684533432455
