Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,y,sigma_min_Mk,abs_det_Mk,diff_norm_from_center
0.26552000000000003,0.08392,0.27596827075691177,0.5972999999999999,0.02701278802975263,0.08081698998689596,0.0010548610500833752
0.26552000000000003,0.08392,0.27596827075691177,0.5973999999999999,0.027012320103095497,0.08083381804063858,0.0009705002635695499
0.26552000000000003,0.08392,0.27596827075691177,0.5974999999999999,0.02701211033736019,0.08085142178085901,0.0008893479593218883
0.26552000000000003,0.08392,0.27596827075691177,0.5975999999999999,0.02701215877350687,0.08086980185322713,0.0008123673726125308
0.26552000000000003,0.08392,0.27596827075691177,0.5976999999999999,0.027012465445074466,0.08088895888150868,0.0007408628696421685
0.26552000000000003,0.08392,0.27596827075691177,0.5978,0.027013030378178145,0.08090889346753079,0.0006765799607940719
0.26552000000000003,0.08392,0.27596827075691177,0.5979,0.02701385359150714,0.08092960619115086,0.0006217819223077077
0.26552000000000003,0.08392,0.27596827075691177,0.598,0.02701493509632369,0.08095109761022873,0.0005792328917799644
0.26552000000000003,0.08392,0.27596827075691177,0.5981,0.027016274896462952,0.08097336826060123,0.0005525369946061759
0.26552000000000003,0.08392,0.27596827075691177,0.5982,0.02701787298833481,0.0809964186560615,0.000579294610989191
0.26552000000000003,0.08392,0.27596827075691177,0.5982999999999999,0.027019729360925088,0.0810202492883398,0.0006218990111399882
0.26552000000000003,0.08392,0.27596827075691177,0.5983999999999999,0.02702184399579938,0.0810448606270881,0.0006767458234808098
0.26552000000000003,0.08392,0.27596827075691177,0.5985,0.027024216867107466,0.08107025311986878,0.000741065016187233
0.26552000000000003,0.08392,0.27596827075691177,0.5986,0.0270268479415882,0.08109642719214497,0.0008125938412386078
0.26552000000000003,0.08392,0.27596827075691177,0.5987,0.027029737178576697,0.08112338324727496,0.0008895889050359236
0.26552000000000003,0.08392,0.27596827075691177,0.5988,0.0270328845300109,0.08115112166650985,0.0009707480340669636
0.26552000000000003,0.08392,0.27596827075691177,0.5989,0.02703628994044105,0.08117964280899423,0.0010551098351280171
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5972999999999999,0.027084456308602733,0.08104335885149981,0.0010946579660660745
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5973999999999999,0.02708399161583634,0.08106024596872421,0.0010143460404746921
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5974999999999999,0.02708378440352164,0.08107790686343523,0.0009377995606128361
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5975999999999999,0.027083834712421005,0.08109634217938826,0.0008660191898550202
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5976999999999999,0.02708414257593411,0.08111555253860539,0.0008002920244407649
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5978,0.027084708020095948,0.0811355385413415,0.0007422363116995603
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5979,0.02708553106357337,0.08115630076605286,0.0006938023567800477
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.598,0.027086611717665115,0.08117783976936982,0.0006571906184861714
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5981,0.027087949986301797,0.08120015608607214,0.0006352386025609081
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5982,0.02708954586604617,0.08122325022906715,0.0006572290496163272
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5982999999999999,0.027091399346096428,0.0812471226893713,0.0006938746224414027
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5983999999999999,0.027093510408288998,0.08127177393609535,0.0007423428187954919
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5985,0.02709587902710195,0.08129720441643203,0.000800426668712853
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5986,0.027098505169661884,0.08132341455564689,0.0008661745780363952
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5987,0.027101388795748894,0.08135040475707296,0.0009379688656065923
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5988,0.027104529857804552,0.08137817540210746,0.0010145235393384758
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.5989,0.027107928300940498,0.08140672685021298,0.001094839068492325
0.26552000000000003,0.083935,0.27579937301816304,0.5972999999999999,0.027155587668079757,0.08126809733654144,0.0011404381217093094
0.26552000000000003,0.083935,0.27579937301816304,0.5973999999999999,0.027155126167372454,0.08128504303139922,0.001064130545116551
0.26552000000000003,0.083935,0.27579937301816304,0.5974999999999999,0.0271549214752848,0.08130276061906715,0.0009920245513347652
0.26552000000000003,0.083935,0.27579937301816304,0.5975999999999999,0.027154973632385438,0.08132125074141308,0.000925104893476967
0.26552000000000003,0.083935,0.27579937301816304,0.5976999999999999,0.02715528267193728,0.08134051401873939,0.0008645804042436541
0.26552000000000003,0.083935,0.27579937301816304,0.5978,0.027155848619895666,0.08136055104974914,0.0008118908055297898
0.26552000000000003,0.083935,0.27579937301816304,0.5979,0.02715667149490577,0.08138136241151553,0.0007686694269757529
0.26552000000000003,0.083935,0.27579937301816304,0.598,0.027157751308302024,0.08140294865945424,0.0007366474832671551
0.26552000000000003,0.083935,0.27579937301816304,0.5981,0.02715908806410819,0.08142531032729888,0.0007180820290731985
0.26552000000000003,0.083935,0.27579937301816304,0.5982,0.027160681759037866,0.08144844792707971,0.0007366799914574554
0.26552000000000003,0.083935,0.27579937301816304,0.5982999999999999,0.02716253238249741,0.08147236194910518,0.0007687228783856599
0.26552000000000003,0.083935,0.27579937301816304,0.5983999999999999,0.02716463991658832,0.08149705286194682,0.000811966950913157
0.26552000000000003,0.083935,0.27579937301816304,0.5985,0.027167004336112018,0.08152252111242726,0.0008646765722698011
0.26552000000000003,0.083935,0.27579937301816304,0.5986,0.027169625608574687,0.08154876712561095,0.0009252169485146057
0.26552000000000003,0.083935,0.27579937301816304,0.5987,0.027172503694194012,0.08157579130479843,0.0009921482498515377
0.26552000000000003,0.083935,0.27579937301816304,0.5988,0.02717563854590601,0.08160359403152354,0.0010642620775101238
0.26552000000000003,0.083935,0.27579937301816304,0.5989,0.02717903010937286,0.08163217566555367,0.0011405742735714258
0.26552000000000003,0.0839425,0.2757158738384301,0.5972999999999999,0.027226193069595624,0.08149123863583832,0.0011916062014406287
0.26552000000000003,0.0839425,0.2757158738384301,0.5973999999999999,0.02722573472011811,0.08150824243280899,0.0011191253743128495
0.26552000000000003,0.0839425,0.2757158738384301,0.5974999999999999,0.027225532515857673,0.08152601626163714,0.0010511578545021195
0.26552000000000003,0.0839425,0.2757158738384301,0.5975999999999999,0.027225586497191465,0.08154456076232884,0.0009886365974766352
0.26552000000000003,0.0839425,0.2757158738384301,0.5976999999999999,0.027225896697248248,0.08156387655348997,0.00093266087842933
0.26552000000000003,0.0839425,0.2757158738384301,0.5978,0.02722646314190458,0.08158396423229224,0.0008844815659433003
0.26552000000000003,0.0839425,0.2757158738384301,0.5979,0.027227285849784476,0.08160482437444268,0.0008454503488743624
0.26552000000000003,0.0839425,0.2757158738384301,0.598,0.027228364832257372,0.0816264575341567,0.0008169335305018863
0.26552000000000003,0.0839425,0.2757158738384301,0.5981,0.02722970009343817,0.08164886424413323,0.000800766499325727
