Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,gap2_minus_gap1,winner_k
0.26552000000000003,0.08392,0.27596827075691177,0.2810781855869645,0.005109914830052742,1
0.26552000000000003,0.08392749999999999,0.2758835009548548,0.28107972646314866,0.00519622550829385,1
0.26552000000000003,0.083935,0.27579937301816304,0.28108126748255674,0.005281894464393699,1
0.26552000000000003,0.0839425,0.2757158738384301,0.2810828086451879,0.005366934806757817,1
0.26552000000000003,0.08395,0.27563299074335795,0.2810843499510446,0.005451359207686635,1
0.26552000000000003,0.08395749999999999,0.27555071147677374,0.28108589140012685,0.005535179923353117,1
0.26552000000000003,0.083965,0.2754690241797638,0.2810874329924367,0.005618408812672893,1
0.26552000000000003,0.0839725,0.2753879173729542,0.2810889747279756,0.0057010573550214105,1
0.26552000000000003,0.08398,0.2753073799397272,0.2810905166067449,0.005783136667017685,1
0.2655275,0.08392,0.27618867235198763,0.28107891395294254,0.004890241600954914,1
0.2655275,0.08392749999999999,0.27610232806434987,0.28108045473639803,0.0049781266720481665,1
0.2655275,0.083935,0.27601665818194543,0.28108199566306613,0.005065337481120702,1
0.2655275,0.0839425,0.27593164849261975,0.28108353673294745,0.0051518882403276955,1
0.2655275,0.08395,0.2758472852720172,0.28108507794604476,0.005237792674027575,1
0.2655275,0.08395749999999999,0.27576355526053214,0.28108661930235807,0.00532306404182592,1
0.2655275,0.083965,0.2756804456415873,0.28108816080188886,0.005407715160301585,1
0.2655275,0.0839725,0.27559794402125537,0.2810897024446388,0.005491758423383453,1
0.2655275,0.08398,0.27551603840903094,0.281091244230608,0.005575205821577056,1
0.265535,0.08392,0.27641286341303384,0.2810796423946563,0.004666778981622488,1
0.265535,0.08392749999999999,0.27632486442247495,0.28108118308539265,0.004756318662917702,1
0.265535,0.083935,0.27623757516083025,0.28108272391933087,0.004845148758500617,1
0.265535,0.0839425,0.2761509801788433,0.28108426489647326,0.004933284717629938,1
0.265535,0.08395,0.2760650645748565,0.2810858060168209,0.005020741441964405,1
0.265535,0.08395749999999999,0.27597981396806687,0.28108734728037466,0.005107533312307788,1
0.265535,0.083965,0.2758952144734649,0.28108888868713655,0.005193674213671673,1
0.265535,0.0839725,0.2758112526782566,0.2810904302371063,0.005279177558849657,1
0.265535,0.08398,0.27572791561974186,0.2810919719302859,0.005364056310544041,1
0.2655425,0.08392,0.27664104040249493,0.2810803709120999,0.004439330509604988,1
0.2655425,0.08392749999999999,0.27655129949199064,0.28108191151012657,0.004530612018135927,1
0.2655425,0.083935,0.27646230676154127,0.28108345225134557,0.004621145489804301,1
0.2655425,0.0839425,0.27637404537003996,0.2810849931357586,0.0047109477657186205,1
0.2655425,0.08395,0.2762864990934981,0.28108653416336643,0.004800035069868314,1
0.2655425,0.08395749999999999,0.2761996522938581,0.2810880753341703,0.004888423040312173,1
0.2655425,0.083965,0.27611348988991724,0.2810896166481721,0.004976126758254873,1
0.2655425,0.0839725,0.27602799732994154,0.2810911581053729,0.005063160775431341,1
0.2655425,0.08398,0.2759431605661251,0.2810926997057732,0.005149539139648107,1
0.26555,0.08392,0.27687341733594983,0.2810810995052657,0.004207682169315885,1
0.26555,0.08392749999999999,0.27678183940413237,0.28108264001059247,0.004300800606460098,1
0.26555,0.083935,0.276691051631029,0.28108418065910135,0.004393129028072373,1
0.26555,0.0839425,0.2766010356032381,0.2810857214507952,0.004484685847557068,1
0.26555,0.08395,0.27651177360566226,0.28108726238567333,0.004575488780011072,1
0.26555,0.08395749999999999,0.2764232485850438,0.28108880346373794,0.004665554878694134,1
0.26555,0.083965,0.27633544411593636,0.2810903446849899,0.004754900569053533,1
0.26555,0.0839725,0.2762483443688768,0.2810918860494304,0.00484354168055362,1
0.26555,0.08398,0.2761619340806088,0.28109342755705985,0.004931493476451054,1
0.2655575,0.08392,0.27711022805852203,0.2810818281741466,0.003971600115624585,1
0.2655575,0.08392749999999999,0.27701670908591036,0.28108336858678373,0.004066659500873371,1
0.2655575,0.083935,0.2769240262464584,0.281084909142593,0.004160882896134588,1
0.2655575,0.0839425,0.2768321593428743,0.2810864498415764,0.0042542904987020735,1
0.2655575,0.08395,0.27674108897155736,0.2810879906837353,0.004346901712177942,1
0.2655575,0.08395749999999999,0.2766507964796834,0.28108953166906947,0.004438735189386089,1
0.2655575,0.083965,0.2765612639252409,0.2810910727975812,0.004529808872340335,1
0.2655575,0.0839725,0.2764724740397299,0.2810926140692716,0.004620140029541697,1
0.2655575,0.08398,0.276384410193383,0.28109415548414113,0.004709745290758127,1
0.265565,0.08392,0.2773517289153744,0.2810825569187356,0.0037308280033612196,1
0.265565,0.08392749999999999,0.2772561547497012,0.2810840972386926,0.003827942488991376,1
0.265565,0.083935,0.27716146723859203,0.2810856377018125,0.003924170463220467,1
0.265565,0.0839425,0.27706764415133883,0.2810871783080966,0.004019534156757765,1
0.265565,0.08395,0.2769746641636398,0.28108871905754385,0.00411405489390404,1
0.265565,0.08395749999999999,0.276882506806785,0.28109025995015846,0.0042077531433734605,1
0.265565,0.083965,0.2767911524204573,0.28109180098594067,0.004300648565483345,1
0.265565,0.0839725,0.2767005821087931,0.28109334216489124,0.004392760056098122,1
0.265565,0.08398,0.2766107776994945,0.2810948834870108,0.00448410578751629,1
0.2655725,0.08392,0.2775982019032419,0.2810832857390256,0.0034850838357836644,1
0.2655725,0.08392749999999999,0.27750044682348673,0.2810848259663129,0.003584379142826166,1
0.2655725,0.083935,0.2774036341194688,0.281086366336752,0.0036827322172832133,1
0.2655725,0.0839425,0.2773077392309216,0.2810879068503458,0.0037801676194241796,1
0.2655725,0.08395,0.27721273863805573,0.28108944750709414,0.0038767088690384033,1
0.2655725,0.08395749999999999,0.2771186098009756,0.281090988306998,0.003972378506022445,1
0.2655725,0.083965,0.2770253311035683,0.28109252925005973,0.004067198146491424,1
0.2655725,0.0839725,0.2769328818014506,0.28109407033627953,0.004161188534828941,1
0.2655725,0.08398,0.27684124197361193,0.2810956115656599,0.004254369592047946,1
0.26558,0.08392,0.2778499584131081,0.28108401463501026,0.0032340562219021485,1
0.26558,0.08392749999999999,0.27774988342101004,0.28108555476963726,0.0033356713486272227,1
0.26558,0.083935,0.27765081250385926,0.28108709504740653,0.0034362825435472755,1
0.26558,0.0839425,0.2775527184180142,0.2810886354683193,0.003535917050305093,1
0.26558,0.08395,0.27745557512086944,0.28109017603237696,0.003634600911507524,1
0.26558,0.08395749999999999,0.2773593576980975,0.28109171673958094,0.003732359041483446,1
0.26558,0.083965,0.27726404229653523,0.2810932575899325,0.003829215293397248,1
0.26558,0.0839725,0.2771696060620426,0.2810947985834323,0.0039251925213896754,1
0.26558,0.08398,0.2770760270820145,0.2810963397200816,0.0040203126380670695,1
