Omega_over_gamma,Delta_star_over_gamma,g_at_star,gap1_star,gap2_star,Delta_k1_side,gap1_k1_side,gap2_k1_side,winner_k1_side,Delta_k2_side,gap1_k2_side,gap2_k2_side,winner_k2_side,eta
0.26475,0.07687862603664396,-7.407408020299044e-13,0.27961164535050215,0.2796116453497614,0.07684862603664395,0.2795744437573518,0.2796059845338501,1,0.07690862603664396,0.2796489143674005,0.27961730845502153,2,3e-05
0.2647525,0.07688024492859839,7.703837567873961e-13,0.27961221892309246,0.27961221892386284,0.07685024492859839,0.27957501777680555,0.2796065580969131,1,0.0769102449285984,0.2796494874886405,0.2796178820401129,2,3e-05
0.26475499999999996,0.0768818638458848,-5.501710198529963e-13,0.27961279250533577,0.2796127925047856,0.0768518638458848,0.27957559180590286,0.2796071316667969,1,0.0769118638458848,0.27965006061954456,0.27961845563202836,2,3e-05
0.2647575,0.07688348278403283,3.885780586188048e-15,0.27961336609168275,0.27961336609168663,0.07685348278403283,0.27957616583910144,0.279607705242658,1,0.07691348278403283,0.27965063375455235,0.27961902922992066,2,3e-05
0.26476,0.07688510174453259,8.649747584854595e-13,0.27961393968398196,0.27961393968484693,0.07685510174453258,0.27957673987824977,0.2796082788247791,1,0.07691510174453259,0.27965120689551665,0.27961960283407306,2,3e-05
0.2647625,0.07688672072887422,4.630740235711528e-13,0.27961451328408393,0.279614513284547,0.07685672072887421,0.27957731392519247,0.2796088524134393,1,0.07691672072887422,0.2796517800442912,0.2796201764447658,2,3e-05
0.264765,0.07688833973556758,3.7059244561987725e-13,0.27961508689013675,0.27961508689050735,0.07685833973556758,0.27957788797808364,0.27960942600835903,1,0.07691833973556758,0.2796523531990213,0.27962075006171777,2,3e-05
0.2647675,0.07688995876610277,-9.8460128938882e-13,0.2796156605039917,0.2796156605030071,0.07685995876610277,0.2795784620387685,0.27960999960981914,1,0.07691995876610278,0.279652926361561,0.27962132368521037,2,3e-05
0.26477,0.07689157781749964,-4.634070904785403e-13,0.2796162341219487,0.2796162341214853,0.07686157781749964,0.27957903610355594,0.2796105732172564,1,0.07692157781749964,0.2796534995282032,0.27962189731468157,2,3e-05
0.26477249999999997,0.07689319689124821,3.664291092775329e-13,0.27961680774585623,0.27961680774622266,0.07686319689124821,0.27957961017428995,0.2796111468309527,1,0.07692319689124821,0.2796540727007997,0.27962247095041187,2,3e-05
0.264775,0.07689481598883868,-6.428191312579656e-14,0.2796173813775652,0.2796173813775009,0.07686481598883868,0.2795801842528174,0.2796117204511901,1,0.07692481598883869,0.2796546458812056,0.27962304459268345,2,3e-05
0.2647775,0.07689643510878086,-1.8685053504441385e-13,0.2796179550152246,0.2796179550150377,0.07686643510878086,0.27958075833729196,0.2796122940776844,1,0.07692643510878086,0.2796552190675655,0.2796236182412135,2,3e-05
0.26478,0.0768980542510748,0.0,0.279618528658834,0.279618528658834,0.07686805425107479,0.2795813324277125,0.2796128677104392,1,0.0769280542510748,0.2796557922598795,0.2796241918960037,2,3e-05
0.2647825,0.07689967341572046,4.953815135877448e-13,0.27961910230839226,0.27961910230888765,0.07686967341572046,0.27958190652408005,0.27961344134945293,1,0.07692967341572046,0.2796563654581482,0.2796247655570529,2,3e-05
0.264785,0.07690129260420796,-2.670641485735814e-13,0.2796196759657511,0.27961967596548404,0.07687129260420796,0.2795824806282389,0.27961401499500665,1,0.07693129260420796,0.27965693866422336,0.2796253392246426,2,3e-05
